Name,APEG,Screenline,Latitude,Longitude
Ballard Bridge,apeg0125,Flow Map,47.6589779,-122.3761484
SR 99 & S Lander St,apeg0225,,47.579731,-122.339342
5th Ave & Spring St,apeg0243,,47.6072553,-122.3324069
2nd Ave S & Washington St,apeg0244,,47.6010269,-122.331377
6th Ave & Union St,apeg0249,,47.6101413,-122.3335603
5th Ave & Blanchard St,apeg0251,,47.6152621,-122.3417572
1st Ave & Union St,apeg0252,,47.6077978,-122.3391017
Boren Ave & Madison St,apeg0253,,47.6093312,-122.3251382
5th Ave S & Washington St,apeg0258,,47.6008822,-122.3276433
4th Ave S & Washington St,apeg0261,,47.6008822,-122.3289737
1st Ave & Lenora St,apeg0263,,47.611852,-122.3439351
Boren Ave & James St,apeg0265,,47.6064857,-122.3225444
4th Ave & Union St,apeg0266,,47.6092191,-122.3357812
2nd Ave & Blanchard St,apeg0267,,47.6132731,-122.344332
4th Ave & Lenora St,apeg0270,,47.613859,-122.341387
Spokane St Low Bridge,apeg0394,West Seattle,47.571394,-122.349158
Airport Way & Holgate St,apeg0493,S Holgate St,47.586217,-122.321392
4th & Jackson,apeg1830,,47.5991959,-122.329027
5th & Madison,apeg2117,Madison St,47.6065102,-122.3317417
Alaskan & Madison,apeg2122,Madison St,47.6037934,-122.3384181
1st & Edgar Martinez,apeg2123,,47.5901018,-122.3342093
2nd & Madison,apeg2124,Madison St,47.6050924,-122.3351428
E Marginal Way & Hanford,apeg2125,S Holgate St,47.5754979,-122.3399815
4th & Madison,apeg2128,Madison St,47.6060328,-122.3328683
1st & Madison,apeg2129,Madison St,47.6046403,-122.3362372
Aurora Ave & Howe St,apeg3391,,47.6362028,-122.3435167
Dexter Ave N & Mercer St,apeg4071,Mercer St,47.6245012,-122.3423624
E Marginal Way & Diagonal Ave S,apeg4083,,47.562356,-122.339381
Airport Way S & Corson Ave S,apeg4290,West Seattle,47.552161,-122.319775
1st Ave S & Holgate St,apeg4310,S Holgate St,47.586108,-122.334194
Aurora Ave N & Ward St,apeg4807,,47.6280275,-122.343534
West Seattle Bridge at Midspan,apeg4816,Flow Map,47.571097,-122.3498092
Spokane St Viaduct,apeg4821,Flow Map,47.5716328,-122.3342523
Elliott Ave W & W Mercer Pl,apeg4825,Mercer St,47.6266157,-122.3683485
Western Ave & Elliott Ave,apeg4930,,47.6207313,-122.3609671
4th Ave S & Holgate St,apeg5031,S Holgate St,47.586147,-122.329033
4th Ave S & Seattle Blvd,apeg5036,,47.596447,-122.329028
2nd Ave & Spring St,apeg5041,,47.6058917,-122.3358965
Westlake Ave N & Mercer St,apeg5042,Mercer St,47.6244681,-122.3382971
9th Ave N & Roy St,apeg5618,,47.6253892,-122.3398286
Westlake Ave N & Roy St,apeg5619,,47.6257032,-122.3386209
E Marginal Way & Idaho,apeg5622,Control Count,47.564481,-122.339369
Fairview Ave N & Mercer St,apeg5629,Mercer St,47.6245097,-122.3344212
1st Ave S & S Stacy St,apeg6910,,47.5819,-122.334197
Fremont Bridge ,apeg9392,,47.6483173,-122.3498364
Aurora & Harrison,apeg2121,,47.6221324,-122.3437366
Dexter & Republican,apeg2120,,47.6232605,-122.342492
1st & Dearborn,apeg2127,,47.5965451,-122.3342952
1st Ave S & S Spokane St,apeg6268,,47.5712419,-122.3342201
E Marginal Way at 1st Ave S,apeg3422,West Seattle,47.548783,-122.334433
S Michigan St at 4th Ave S,apeg6269,West Seattle,47.545358,-122.329603
"Highland Park Way SW, east of SW Othello St",Tube4,West Seattle,47.539297,-122.346082
SW Roxbury St at 15th Ave SW,apeg3495,West Seattle,47.517384,-122.353413
South Park Bridge,apeg3493,West Seattle,47.531113,-122.313764
Delridge Way SW at SW Andover St,apeg3492,West Seattle,47.56878,-122.363085
35th Ave SW at SW Raymond St,apeg3489,West Seattle,47.5483018,-122.376371
West Marginal Way SW at Duwamish River Trail,apeg3491,West Seattle,47.5640464,-122.3526441
Highland Park Way SW at West Marginal Way SW,apeg3494,West Seattle,47.5403246,-122.3423204
Aurora Bridge,apeg0392,Flow Map,47.64679097,-122.3472746
