tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
114+10219,EASTLAKE AVE E,NORTHBOUND,MERCER ST,WA,KING,98109,47.6196908,-122.3291442,47.6243052,-122.3291654,0.318794,1.0,America/Los_Angeles,P1,USA,1097,3,N,3,80389,2,,4,,1,1,,10488,734,315,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08099,WESTERN AVE,WESTBOUND,WALL ST,WA,KING,98121,47.6134838,-122.3487104,47.614023,-122.349605,0.055886,5.0,America/Los_Angeles,P1,USA,463,3,N,3,80389,1,,2,,1,1,,15183,617,617,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08098,WESTERN AVE,WESTBOUND,BATTERY ST,WA,KING,98121,47.612771,-122.347339,47.6134838,-122.3487104,0.08084,4.0,America/Los_Angeles,P1,USA,463,3,N,2,80389,1,,2,,1,1,,19571,689,605,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-08546,5TH AVE N,SOUTHBOUND,MERCER ST,WA,KING,98109,47.618566,-122.347614,47.6245442,-122.3475582,0.414765,2.0,America/Los_Angeles,P1,USA,566,3,N,3,80389,2,,4,,1,1,,15321,586,483,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-10503,S JACKSON ST,WESTBOUND,4TH AVE,WA,KING,98104,47.599213,-122.3149944,47.599212,-122.329041,0.654353,3.0,America/Los_Angeles,P1,USA,1197,3,N,3,80389,2,,4,,1,1,,10864,511,255,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-08025,4TH AVE S,SOUTHBOUND,S ROYAL BROUGHAM WAY,WA,KING,98104,47.598524,-122.32908,47.5924294,-122.3290582,0.421053,1.0,America/Los_Angeles,P1,USA,446,2,N,3,80389,2,1,5,,1,1,,21790,981,802,4,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-09880,BOREN AVE S,EASTBOUND,S JACKSON ST,WA,KING,98104,47.609352,-122.3251542,47.5992128,-122.314115,0.877121,2.0,America/Los_Angeles,P1,USA,989,3,N,3,80389,2,,4,,1,1,,17131,824,330,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-09881,BOREN AVE,EASTBOUND,MADISON ST,WA,KING,98101,47.6185236,-122.3353782,47.609352,-122.3251542,0.800245,1.0,America/Los_Angeles,P1,USA,989,3,N,3,80389,2,,4,,1,1,,16084,778,311,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-10991,E OLIVE WAY,WESTBOUND,I-5/MELROSE AVE,WA,KING,98102,47.619922,-122.32088,47.616662,-122.327902,0.4323,1.0,America/Los_Angeles,P1,USA,1357,3,N,3,80389,2,,2,,1,1,,14003,560,560,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114P10991,OLIVE WAY,EASTBOUND,I-5/MELROSE AVE,WA,KING,98101,47.615956,-122.329557,47.616662,-122.327902,0.091335,2.0,America/Los_Angeles,P1,USA,1357,3,N,1,80389,2,,2,,1,1,,106098,2320,2438,6,100,0,51,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-09920,MERCER ST,WESTBOUND,DENNY WAY,WA,KING,98109,47.6244706,-122.343823,47.618569,-122.350408,0.637446,3.0,America/Los_Angeles,P1,USA,1001,3,N,3,80389,2,,4,,1,1,,14768,629,595,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+14383,5TH AVE N,NORTHBOUND,DENNY WAY,WA,KING,98109,47.6245442,-122.3475582,47.618566,-122.347614,0.414889,7.0,America/Los_Angeles,P1,USA,566,3,N,3,80389,2,,4,,1,1,,15322,586,483,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+10460,HOWELL ST,EASTBOUND,I-5/DENNY WAY,WA,KING,98101,47.6140736,-122.3341214,47.618465,-122.329123,0.387916,1.0,America/Los_Angeles,P1,USA,1183,3,N,3,80389,1,,3,,1,1,,10626,416,391,6,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08026,4TH AVE S,NORTHBOUND,2ND AVENUE EXT,WA,KING,98104,47.5924294,-122.3290582,47.598524,-122.32908,0.421053,6.0,America/Los_Angeles,P1,USA,446,2,N,3,80389,2,1,5,,1,1,,21790,981,802,4,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08542,5TH AVE,NORTHBOUND,MADISON ST,WA,KING,98101,47.612676,-122.337364,47.606536,-122.331777,0.4977,3.0,America/Los_Angeles,P1,USA,566,4,N,3,80389,1,,3,,1,1,,12183,500,250,1,35,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08028,4TH AVE,NORTHBOUND,MADISON ST,WA,KING,98164,47.6053898,-122.3322598,47.606097,-122.332937,0.058148,8.0,America/Los_Angeles,P1,USA,446,2,N,3,80389,1,,3,,1,1,,13763,551,275,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08027,4TH AVE S,NORTHBOUND,MARION ST,WA,KING,98104,47.598524,-122.32908,47.6053898,-122.3322598,0.517341,7.0,America/Los_Angeles,P1,USA,446,2,N,3,80389,1,,3,,1,1,,14863,780,390,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-08018,2ND AVE,EASTBOUND,BATTERY ST,WA,KING,98121,47.6153746,-122.3479276,47.614821,-122.3469952,0.057862,4.0,America/Los_Angeles,P1,USA,444,3,N,3,80389,1,,3,,1,1,,11396,352,176,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-08017,2ND AVE,EASTBOUND,MADISON ST,WA,KING,98101,47.6147766,-122.3469064,47.605141,-122.335142,0.871752,5.0,America/Los_Angeles,P1,USA,444,3,N,3,80389,1,,3,,1,1,,12806,480,240,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-08016,2ND AVE,EASTBOUND,MARION ST,WA,KING,98174,47.605141,-122.335142,47.604446,-122.334484,0.056961,6.0,America/Los_Angeles,P1,USA,444,2,N,3,80389,1,,3,,1,1,,13623,607,304,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-08015,2ND AVENUE EXT S,EASTBOUND,4TH AVE,WA,KING,98104,47.604446,-122.334484,47.598524,-122.32908,0.480531,7.0,America/Los_Angeles,P1,USA,444,2,N,3,80389,1,1,4,,1,1,,12818,387,194,4,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08029,4TH AVE,NORTHBOUND,BATTERY ST,WA,KING,98101,47.606097,-122.332937,47.616123,-122.345233,0.908668,9.0,America/Los_Angeles,P1,USA,446,3,N,3,80389,1,,4,,1,1,,13655,521,261,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
