,Measurement Tstamp,,,,,,,,,,,,,,,,,,,,,,,
Tmc Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
114-04193,32.8,32.4,33.4,32.4,32.6,32.7,33.6,38.5,39.0,39.3,37.3,36.5,39.8,42.3,48.8,54.0,53.5,60.0,48.5,37.4,35.1,34.0,33.6,34.0
114-04194,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4
114-04195,7.7,7.7,7.8,7.6,7.6,7.7,8.3,9.8,10.6,10.2,9.3,9.4,10.9,11.6,13.4,14.6,13.9,14.3,12.3,10.3,8.3,8.2,8.0,7.9
114-04196,13.4,13.5,13.5,13.2,13.4,13.7,14.5,21.6,30.5,25.1,18.1,17.9,21.1,23.6,28.4,30.2,30.2,32.8,28.1,21.1,14.7,14.4,13.9,13.9
114-04197,6.7,6.7,6.6,6.6,6.7,6.8,7.2,13.2,18.2,15.0,9.1,8.7,11.9,14.4,20.2,22.5,22.1,24.1,18.7,11.4,7.2,7.0,7.0,7.0
114-04548,16.6,16.8,17.7,16.4,15.6,16.8,21.1,25.5,28.1,24.4,21.5,19.0,21.2,23.9,27.4,28.8,32.3,32.6,28.7,22.7,17.2,18.2,17.0,17.2
114-04549,16.7,17.0,18.0,16.5,15.8,16.7,19.5,30.5,31.4,28.2,21.2,19.3,22.8,28.2,29.0,31.0,30.3,33.5,29.8,23.2,17.6,18.8,17.2,17.5
114-04551,25.6,23.7,26.0,26.1,24.6,25.3,35.2,60.9,87.2,63.5,34.1,31.2,55.2,61.8,97.2,110.5,108.3,127.1,98.0,67.2,50.7,34.8,36.6,34.0
114-04633,13.0,17.1,17.0,,12.0,14.2,14.2,20.7,29.9,25.0,17.2,16.3,16.3,17.2,23.0,56.7,68.0,56.4,35.8,17.9,15.5,16.2,14.3,15.9
114-08015,145.0,240.1,158.3,143.4,139.3,188.4,136.9,158.2,151.3,171.8,152.4,150.0,167.9,176.6,171.7,208.3,227.7,203.0,198.6,170.3,156.5,144.6,155.7,124.9
114-08017,412.1,338.4,192.3,287.9,171.7,269.5,239.0,212.3,249.2,249.5,264.8,264.5,324.4,306.9,326.6,501.0,506.5,514.0,332.0,289.2,254.4,319.4,288.0,287.0
114-08018,33.0,,,,,17.4,12.9,12.3,14.7,12.2,15.5,16.6,16.4,15.1,18.0,20.6,22.7,23.2,18.6,22.2,18.0,22.9,23.0,16.4
114-08025,94.7,89.4,,73.6,56.4,97.2,98.1,116.4,121.3,121.6,95.6,96.5,93.4,89.9,87.5,104.1,120.1,100.1,91.4,76.0,85.6,68.5,102.4,59.6
114-08076,,,,,,,,53.1,56.2,45.0,29.0,37.5,32.2,34.6,34.3,52.1,69.4,57.0,46.1,48.1,,18.8,28.1,
114-08077,,,,,,,20.8,33.6,35.3,22.2,30.1,23.6,24.1,28.2,21.5,26.2,35.8,28.1,25.1,21.5,23.3,,,
114-08078,,,,,,,279.9,191.1,180.6,187.0,221.6,209.0,241.0,327.8,267.4,372.5,376.9,452.2,295.9,217.0,204.1,249.0,204.3,161.0
114-08079,,,,,,,75.2,62.6,53.1,70.2,59.2,55.6,59.0,90.1,49.9,61.7,78.5,62.0,56.3,83.6,79.4,82.6,76.0,67.3
114-08093,,,,,,,51.4,48.6,48.7,48.3,60.1,53.2,58.4,59.4,52.2,68.3,64.3,68.3,60.2,48.4,56.7,47.1,50.1,36.7
