tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_seconds,data_density
114+10219,2018-05-07 00:00:00,14.00,26.00,41.00,81.98,A
114+10219,2018-05-07 06:00:00,13.02,23.00,41.00,88.12,A
114+10219,2018-05-07 07:00:00,10.23,12.00,41.00,112.18,A
114+10219,2018-05-07 09:00:00,18.63,14.00,41.00,61.60,B
114+10219,2018-05-07 11:00:00,16.00,18.00,41.00,71.73,A
114+10219,2018-05-07 12:00:00,12.52,15.00,41.00,91.70,A
114+10219,2018-05-07 13:00:00,6.00,14.00,41.00,191.28,A
114+10219,2018-05-07 14:00:00,14.00,16.00,41.00,81.98,A
114+10219,2018-05-07 15:00:00,14.78,21.00,41.00,77.63,A
114+10219,2018-05-07 16:00:00,32.00,20.00,41.00,35.86,A
114+10219,2018-05-07 17:00:00,22.13,19.00,41.00,51.86,B
114+10219,2018-05-07 18:00:00,18.44,20.00,41.00,62.24,A
114+10219,2018-05-07 21:00:00,67.00,11.00,41.00,17.13,A
114+10219,2018-05-07 23:00:00,34.00,11.00,41.00,33.75,A
114+08099,2018-05-07 02:00:00,27.50,,40.00,7.32,A
114+08099,2018-05-07 04:00:00,21.00,,40.00,9.58,A
114+08099,2018-05-07 05:00:00,16.99,,40.00,11.84,A
114+08099,2018-05-07 06:00:00,12.17,,40.00,16.53,B
114+08099,2018-05-07 07:00:00,18.91,,40.00,10.64,B
114+08099,2018-05-07 08:00:00,11.54,,40.00,17.44,C
114+08099,2018-05-07 09:00:00,14.23,,40.00,14.13,B
114+08099,2018-05-07 10:00:00,17.06,,40.00,11.79,B
114+08099,2018-05-07 11:00:00,18.71,,40.00,10.75,B
114+08099,2018-05-07 12:00:00,17.94,,40.00,11.21,B
114+08099,2018-05-07 13:00:00,20.51,,40.00,9.81,B
114+08099,2018-05-07 14:00:00,17.24,,40.00,11.67,A
114+08099,2018-05-07 15:00:00,18.63,,40.00,10.80,B
114+08099,2018-05-07 16:00:00,12.59,,40.00,15.98,B
114+08099,2018-05-07 17:00:00,16.13,,40.00,12.47,B
114+08099,2018-05-07 18:00:00,14.37,,40.00,14.00,A
114+08099,2018-05-07 19:00:00,14.35,,40.00,14.02,B
