Tmc Code,eve
114-04193,50.7
114-04194,0.6
114-04195,13.1
114-04196,28.5
114-04197,19.7
114-04548,29.0
114-04549,29.6
114-04551,102.2
114-04633,47.0
114-08015,201.6
114-08017,428.5
114-08018,21.5
114-08025,98.3
114-08076,56.0
114-08077,28.0
114-08078,344.8
114-08079,68.4
114-08093,62.2
114-08094,67.0
114-08101,83.2
114-08102,31.8
114-08103,110.4
114-08208,71.3
114-08209,60.2
114-08210,527.5
114-08546,148.8
114-08637,280.2
114-08638,159.6
114-09880,277.2
114-09881,289.8
114-09919,141.5
114-09920,220.0
114-10098,30.4
114-10167,167.6
114-10168,292.5
114-10272,163.4
114-10499,44.4
114-10501,88.0
114-10502,14.5
114-10503,219.0
114-10560,58.5
114-10561,50.5
114-10562,242.2
114-10991,148.7
114-11094,304.5
114-11101,118.0
114-11376,78.3
114-11377,339.4
114-11504,85.6
114-11557,76.0
114-11598,288.2
114-14841,95.0
114-15700,153.2
114-15701,258.1
114-15717,81.6
114-15723,64.2
114+04194,71.0
114+04196,9.2
114+04197,6.3
114+04549,23.8
114+04550,24.6
114+04551,1.4
114+04552,26.4
114+04630,71.0
114+04634,22.4
114+08026,130.2
114+08027,150.9
114+08028,15.6
114+08029,292.6
114+08079,146.5
114+08080,57.4
114+08088,35.1
114+08098,19.7
114+08099,13.8
114+08100,87.2
114+08104,237.4
114+08211,436.5
114+08224,58.5
114+08225,64.7
114+08542,261.5
114+08571,42.4
114+08639,155.7
114+09881,295.8
114+09882,315.0
114+09920,124.5
114+09921,226.9
114+10168,247.4
114+10169,424.3
114+10219,61.1
114+10273,246.1
114+10460,193.0
114+10502,107.0
114+10504,175.2
114+10561,64.2
114+10562,59.5
114+10563,165.2
114+10991,203.1
114+10992,129.4
114+11093,72.0
114+11094,145.5
114+11095,325.4
114+11102,47.5
114+11599,331.8
114+14383,129.5
114+15700,46.0
114+15710,147.7
114+15717,22.2
114N04193,54.1
114N04194,11.4
114N04195,46.3
114N04196,10.9
114N04197,42.8
114N04198,135.8
114N04548,12.5
114N04549,7.6
114N04551,92.9
114N04552,81.4
114N08101,10.1
114N10168,20.8
114N10562,33.8
114P04193,77.8
114P04194,13.7
114P04195,32.9
114P04196,8.9
114P04197,38.6
114P04198,62.2
114P04548,15.6
114P04549,5.7
114P04551,41.4
114P04552,17.9
114P10168,28.7
114P10562,34.5
114P10991,28.4
