Tmc Code,mor
114-04193,37.5
114-04194,0.4
114-04195,9.6
114-04196,22.0
114-04197,12.5
114-04548,24.1
114-04549,26.1
114-04551,56.2
114-04633,21.4
114-08015,154.1
114-08017,243.0
114-08018,13.5
114-08025,110.6
114-08076,46.3
114-08077,30.1
114-08078,209.2
114-08079,64.0
114-08093,51.5
114-08094,56.7
114-08101,28.4
114-08102,11.5
114-08103,54.5
114-08208,70.2
114-08209,53.4
114-08210,446.8
114-08546,132.3
114-08637,272.9
114-08638,165.4
114-09880,241.8
114-09881,281.6
114-09919,138.4
114-09920,200.4
114-10098,38.4
114-10167,160.2
114-10168,278.2
114-10272,171.5
114-10499,29.7
114-10501,76.5
114-10502,10.0
114-10503,205.3
114-10560,69.2
114-10561,49.6
114-10562,200.7
114-10991,145.2
114-11094,248.8
114-11101,101.7
114-11376,80.3
114-11377,296.4
114-11504,66.4
114-11557,62.4
114-11598,257.3
114-14841,107.6
114-15700,130.7
114-15701,202.2
114-15717,76.8
114-15723,54.6
114+04194,134.7
114+04196,10.0
114+04197,6.8
114+04549,39.6
114+04550,32.1
114+04551,1.7
114+04552,46.3
114+04630,79.9
114+04634,15.9
114+08026,181.1
114+08027,185.0
114+08028,21.4
114+08029,288.4
114+08079,161.5
114+08080,62.5
114+08088,32.9
114+08098,22.3
114+08099,16.8
114+08100,90.4
114+08104,196.4
114+08211,511.9
114+08224,65.7
114+08225,58.5
114+08542,197.2
114+08571,37.1
114+08639,160.1
114+09881,346.4
114+09882,242.8
114+09920,122.9
114+09921,171.7
114+10168,184.6
114+10169,264.7
114+10219,70.6
114+10273,184.0
114+10460,191.6
114+10502,98.5
114+10504,193.5
114+10561,58.8
114+10562,44.7
114+10563,198.5
114+10991,221.8
114+10992,137.0
114+11093,72.8
114+11094,143.1
114+11095,287.2
114+11102,40.4
114+11599,264.8
114+14383,119.7
114+15700,57.6
114+15710,147.4
114+15717,33.7
114N04193,38.2
114N04194,8.7
114N04195,35.8
114N04196,9.1
114N04197,27.6
114N04198,78.7
114N04548,9.6
114N04549,6.6
114N04551,57.9
114N04552,49.9
114N08101,9.0
114N10168,21.3
114N10562,31.7
114P04193,169.4
114P04194,23.6
114P04195,42.7
114P04196,9.7
114P04197,40.0
114P04198,59.8
114P04548,21.7
114P04549,10.0
114P04551,53.9
114P04552,25.4
114P10168,22.5
114P10562,30.7
114P10991,28.0
