Name,APEG,Screenline,Latitude,Longitude
5th Ave & Spring St,apeg0243,,"47.6072553","-122.3324069"
2nd Ave S & Washington St,apeg0244,,"47.6010269","-122.331377"
6th Ave & Union St,apeg0249,,"47.6101413","-122.3335603"
5th Ave & Blanchard St,apeg0251,,"47.6152621","-122.3417572"
1st Ave & Union St,apeg0252,,"47.6077978","-122.3391017"
Boren Ave & Madison St,apeg0253,,"47.6093312","-122.3251382"
5th Ave S & Washington St,apeg0258,,"47.6008822","-122.3276433"
4th Ave S & Washington St,apeg0261,,"47.6008822","-122.3289737"
1st Ave & Lenora St,apeg0263,,"47.611852","-122.3439351"
Boren Ave & James St,apeg0265,,"47.6064857","-122.3225444"
4th Ave & Union St,apeg0266,,"47.6092191","-122.3357812"
2nd Ave & Blanchard St,apeg0267,,"47.6132731","-122.344332"
4th Ave & Lenora St,apeg0270,,"47.613859","-122.341387"
5th & Madison,apeg2117,Madison St,"47.6065102","-122.3317417"
Alaskan & Madison,apeg2122,Madison St,"47.6037934","-122.3384181"
2nd & Madison,apeg2124,Madison St,"47.6050924","-122.3351428"
4th & Madison,apeg2128,Madison St,"47.6060328","-122.3328683"
1st & Madison,apeg2129,Madison St,"47.6046403","-122.3362372"
2nd Ave & Spring St,apeg5041,,"47.6058917","-122.3358965"
