trip_id,route_id,route_shor,stop_id,stop_name,stop_lat,stop_lon,hour,minute,sec,stop_order
"49709102","102715","162","997",6th Ave & Union St,47.610092199999997,-122.333382000000000,"5","52","58","28"
"49709102","102715","162","1120",Pine St & 4th Ave,47.611103100000001,-122.338027999999994,"5","53","34","29"
"49709102","102715","162","300",2nd Ave & Pike St,47.608646399999998,-122.338431999999997,"5","54","0","30"
"49709102","102715","162","340",2nd Ave & Marion St,47.604465500000003,-122.334625000000003,"5","56","14","31"
"49709102","102715","162","361",2nd Ave & James St,47.602477999999998,-122.332808999999997,"5","57","17","32"
"49709102","102715","162","390",2nd Ave Ext S & S Jackson St,47.599266100000001,-122.329857000000004,"5","59","0","33"
"49709129","102715","162","250",2nd Ave & Bell St,47.613704700000000,-122.345253000000000,"15","27","0","1"
"49709129","102715","162","260",2nd Ave & Lenora St,47.612163500000001,-122.342628000000005,"15","28","21","2"
"49709129","102715","162","300",2nd Ave & Pike St,47.608646399999998,-122.338431999999997,"15","31","0","3"
"49709129","102715","162","340",2nd Ave & Marion St,47.604465500000003,-122.334625000000003,"15","34","7","4"
"49709129","102715","162","361",2nd Ave & James St,47.602477999999998,-122.332808999999997,"15","35","36","5"
"49709129","102715","162","390",2nd Ave Ext S & S Jackson St,47.599266100000001,-122.329857000000004,"15","38","0","6"
"40803300","102638",First Hill Streetcar,"1551",S Jackson St & Occidental Ave Walk,47.599273699999998,-122.333281999999997,"5","43","0","1"
"40803300","102638",First Hill Streetcar,"1652",S Jackson St & 5th Ave S,47.599124900000000,-122.327286000000001,"5","45","0","2"
"40803300","102638",First Hill Streetcar,"1662",S Jackson St & 8th Ave S,47.599124900000000,-122.323395000000005,"5","47","0","3"
"40803300","102638",First Hill Streetcar,"27420",E Yesler Way & Broadway,47.601756999999999,-122.320296999999997,"5","56","0","6"
"40803300","102638",First Hill Streetcar,"41904",Broadway & E Terrace St,47.605449700000001,-122.320648000000006,"5","58","54","7"
"40803300","102638",First Hill Streetcar,"41908",Broadway & E Marion St,47.610157000000001,-122.320662999999996,"6","2","17","8"
"40803300","102638",First Hill Streetcar,"41970",Broadway & E Pine St,47.615165699999999,-122.320701999999997,"6","5","52","9"
"40803300","102638",First Hill Streetcar,"11175",Broadway & E Howell St,47.618156399999997,-122.320746999999997,"6","8","0","10"
"40803381","102638",First Hill Streetcar,"11175",Broadway & E Howell St,47.618156399999997,-122.320746999999997,"6","13","0","1"
"40803381","102638",First Hill Streetcar,"41980",Broadway & E Pike St,47.614139600000001,-122.320885000000004,"6","15","7","2"
"40803381","102638",First Hill Streetcar,"41986",Broadway & Marion St,47.609909100000003,-122.320869000000002,"6","17","21","3"
"40803381","102638",First Hill Streetcar,"41988",Broadway & Terrace St,47.604641000000001,-122.320853999999997,"6","20","7","4"
"40803381","102638",First Hill Streetcar,"27500",E Yesler Way & Broadway,47.601623500000002,-122.319832000000005,"6","22","0","5"
"40803381","102638",First Hill Streetcar,"1661",S Jackson St & 8th Ave S,47.599266100000001,-122.323340999999999,"6","32","0","8"
"40803381","102638",First Hill Streetcar,"1651",S Jackson St & 5th Ave S,47.599262199999998,-122.327263000000002,"6","34","0","9"
"40803381","102638",First Hill Streetcar,"1551",S Jackson St & Occidental Ave Walk,47.599273699999998,-122.333281999999997,"6","38","0","10"
"49190175","102615",E Line,"1610",Prefontaine Pl S & Yesler Way,47.601657899999999,-122.329941000000005,"20","0","0","1"
"49190175","102615",E Line,"538",3rd Ave & Columbia St,47.604190799999998,-122.332588000000001,"20","1","30","2"
"49190175","102615",E Line,"558",3rd Ave & Seneca St,47.607051800000001,-122.335212999999996,"20","3","5","3"
"49190175","102615",E Line,"578",3rd Ave & Pike St,47.610485099999998,-122.338356000000005,"20","5","0","4"
"49190175","102615",E Line,"600",3rd Ave & Virginia St,47.612995099999999,-122.341742999999994,"20","5","45","5"
"49190175","102615",E Line,"605",3rd Ave & Bell St,47.615119900000003,-122.345337000000001,"20","6","27","6"
"49190175","102615",E Line,"6236",7th Ave N & Denny Way,47.619098700000002,-122.343575000000001,"20","7","32","7"
"49190175","102615",E Line,"6237",7th Ave N & Harrison St,47.621894800000000,-122.343506000000005,"20","8","9","8"
"49190176","102615",E Line,"6176",7th Ave N & Thomas St,47.621055599999998,-122.343841999999995,"21","53","34","28"
"49190176","102615",E Line,"7430",Wall St & 5th Ave,47.617431600000003,-122.345344999999995,"21","54","32","29"
"49190176","102615",E Line,"400",3rd Ave & Bell St,47.614444700000000,-122.344513000000006,"21","55","29","30"
"49190176","102615",E Line,"420",3rd Ave & Virginia St,47.612438200000000,-122.341110000000000,"21","56","12","31"
"49190176","102615",E Line,"431",3rd Ave & Pike St,47.609790799999999,-122.337958999999998,"21","57","0","32"
"49190176","102615",E Line,"468",3rd Ave & Seneca St,47.606502499999998,-122.334937999999994,"21","59","6","33"
"49190176","102615",E Line,"490",3rd Ave & Cherry St,47.603580500000000,-122.332274999999996,"22","0","57","34"
"49190176","102615",E Line,"515",3rd Ave S & S Main St,47.600238800000000,-122.330376000000001,"22","3","0","35"
"49190321","102581",D Line,"1610",Prefontaine Pl S & Yesler Way,47.601657899999999,-122.329941000000005,"20","0","0","1"
"49190321","102581",D Line,"538",3rd Ave & Columbia St,47.604190799999998,-122.332588000000001,"20","1","30","2"
"49190321","102581",D Line,"558",3rd Ave & Seneca St,47.607051800000001,-122.335212999999996,"20","3","5","3"
"49190321","102581",D Line,"578",3rd Ave & Pike St,47.610485099999998,-122.338356000000005,"20","5","0","4"
"49190321","102581",D Line,"600",3rd Ave & Virginia St,47.612995099999999,-122.341742999999994,"20","6","49","5"
"49190321","102581",D Line,"605",3rd Ave & Bell St,47.615119900000003,-122.345337000000001,"20","8","32","6"
"49190321","102581",D Line,"1690",3rd Ave & Vine St,47.616870900000002,-122.348297000000002,"20","9","56","7"
"49190321","102581",D Line,"2330",1st Ave N & Denny Way,47.618904100000002,-122.355362000000000,"20","13","35","8"
"49190321","102581",D Line,"2360",1st Ave N & Republican St,47.623187999999999,-122.355309000000005,"20","15","51","9"
"49190323","102581",D Line,"13910",W Mercer St & 3rd Ave W,47.624534599999997,-122.360718000000006,"21","17","20","18"
"49190323","102581",D Line,"2672",Queen Anne Ave N & W Mercer St,47.624061599999997,-122.356812000000005,"21","18","0","19"
"49190323","102581",D Line,"2200",Queen Anne Ave N & W John St,47.619213100000003,-122.356849999999994,"21","20","40","20"
"49190323","102581",D Line,"2220",3rd Ave & Cedar St,47.616874699999997,-122.348624999999998,"21","24","24","21"
"49190323","102581",D Line,"400",3rd Ave & Bell St,47.614444700000000,-122.344513000000006,"21","26","26","22"
"49190323","102581",D Line,"420",3rd Ave & Virginia St,47.612438200000000,-122.341110000000000,"21","28","6","23"
"49190323","102581",D Line,"431",3rd Ave & Pike St,47.609790799999999,-122.337958999999998,"21","30","0","24"
"49190323","102581",D Line,"468",3rd Ave & Seneca St,47.606502499999998,-122.334937999999994,"21","32","6","25"
"49190323","102581",D Line,"490",3rd Ave & Cherry St,47.603580500000000,-122.332274999999996,"21","33","57","26"
"49190323","102581",D Line,"1710",Terrace St & 5th Ave,47.602046999999999,-122.328254999999999,"21","36","0","27"
"49190611","102576",C Line,"1565",Columbia St & Western Ave,47.602745100000000,-122.336074999999994,"20","39","51","17"
"49190611","102576",C Line,"539",3rd Ave & Marion St,47.604804999999999,-122.333160000000007,"20","40","30","18"
"49190611","102576",C Line,"558",3rd Ave & Seneca St,47.607051800000001,-122.335212999999996,"20","41","0","19"
"49190611","102576",C Line,"578",3rd Ave & Pike St,47.610485099999998,-122.338356000000005,"20","43","2","20"
"49190611","102576",C Line,"600",3rd Ave & Virginia St,47.612995099999999,-122.341742999999994,"20","44","45","21"
"49190611","102576",C Line,"18440",Blanchard St & 6th Ave,47.615856200000003,-122.340880999999996,"20","46","49","22"
"49190611","102576",C Line,"26690",Westlake Ave & 9th Ave,47.618267099999997,-122.338341000000000,"20","48","22","23"
"49190611","102576",C Line,"26715",Westlake Ave N & Harrison St,47.621849099999999,-122.338356000000005,"20","50","10","24"
"49190612","102576",C Line,"26641",Westlake Ave N & Mercer St,47.624153100000001,-122.338547000000005,"21","24","53","2"
"49190612","102576",C Line,"26645",Westlake Ave N & Harrison St,47.621379900000001,-122.338570000000004,"21","26","0","3"
"49190612","102576",C Line,"26665",Westlake Ave & 9th Ave,47.617794000000004,-122.338463000000004,"21","28","20","4"
"49190612","102576",C Line,"420",3rd Ave & Virginia St,47.612438200000000,-122.341110000000000,"21","32","44","5"
"49190612","102576",C Line,"431",3rd Ave & Pike St,47.609790799999999,-122.337958999999998,"21","35","0","6"
"49190612","102576",C Line,"468",3rd Ave & Seneca St,47.606502499999998,-122.334937999999994,"21","37","23","7"
"49190612","102576",C Line,"481",3rd Ave & Columbia St,47.604263300000000,-122.332901000000007,"21","39","0","8"
"49190612","102576",C Line,"1558",Columbia St & Alaskan Way,47.602470400000001,-122.337119999999999,"21","39","40","9"
"47418053","102574","40","26641",Westlake Ave N & Mercer St,47.624153100000001,-122.338547000000005,"7","10","17","46"
"47418053","102574","40","26645",Westlake Ave N & Harrison St,47.621379900000001,-122.338570000000004,"7","11","0","47"
"47418053","102574","40","26665",Westlake Ave & 9th Ave,47.617794000000004,-122.338463000000004,"7","12","50","48"
"47418053","102574","40","420",3rd Ave & Virginia St,47.612438200000000,-122.341110000000000,"7","16","18","49"
"47418053","102574","40","430",3rd Ave & Pine St,47.610790299999998,-122.338875000000002,"7","17","28","50"
"47418053","102574","40","450",3rd Ave & Union St,47.608253499999996,-122.336547999999993,"7","19","0","51"
"47418053","102574","40","480",3rd Ave & Marion St,47.604995700000003,-122.333572000000004,"7","21","29","52"
