ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-398.73941072024155	-398.73941072024155	-398.73941072024155	-398.73941072024155
1	-282.796217946469	-398.73941072024155	-340.7678143333553	-282.796217946469
2	-248.86087369123004	-398.73941072024155	-321.0394981402869	-248.85896358533543
3	-232.62882178277613	-398.73941072024155	-310.1518178901137	-232.62882178277613
4	-199.58325330618771	-398.73941072024155	-290.79739260346474	-199.58325330618771
5	-166.9491847517469	-398.73941072024155	-274.48035832624436	-166.9491847517469
6	-151.2128592205963	-398.73941072024155	-266.612195560669	-151.2128592205963
7	-134.86850027152147	-398.73941072024155	-255.76055522961457	-134.86824602947894
8	-102.12299628678335	-398.73941072024155	-236.7645093179369	-102.11879557595451
9	-102.13599504524537	-398.73941072024155	-229.94109765051718	-102.11879557595451
10	-102.1200668979988	-398.73941072024155	-227.21741922601237	-102.11879557595451
11	-102.13196130069734	-398.73941072024155	-223.61263322464907	-102.11879557595451
12	-102.12456158827857	-398.73941072024155	-216.68289138123066	-102.11879557595451
13	-102.11948346630562	-398.73941072024155	-209.8239099819353	-102.116567060518
14	-85.1588344111643	-398.73941072024155	-197.2687766947908	-85.14721620615519
15	-52.42515368198175	-398.73941072024155	-179.5203517578222	-52.42287860626585
16	-37.07439629174837	-398.73941072024155	-169.09281181752547	-37.05677359442879
17	-20.344822473374833	-398.73941072024155	-157.99559192053712	-20.342116812163113
18	-3.6969464095202076	-398.73941072024155	-149.67300671921566	-3.6969464095202076
19	13.354808259266807	-398.73941072024155	-138.31890424242832	13.354808259266807
20	13.343592082909376	-398.73941072024155	-131.34643643215915	13.354808259266807
21	13.354808259266807	-398.73941072024155	-131.34643643215915	13.354808259266807
22	29.04328036642628	-398.73941072024155	-119.13064715151212	29.05273350740392
23	45.042632919839754	-398.73941072024155	-108.57265480047506	45.05478377691747
24	45.05508115296421	-398.73941072024155	-107.75523753350542	45.05508115296421
25	45.03712813205178	-398.73941072024155	-99.30331669770557	45.05585805625485
26	45.04142385540316	-398.73941072024155	-96.66434303855885	45.05585805625485
27	45.04065806146122	-382.7697237828439	-93.15822732441455	45.05585805625485
28	45.0494660648505	-382.7697237828439	-88.9787382951228	45.05585805625485
29	61.902732783672256	-382.7697237828439	-80.5553009314141	61.902732783672256
30	61.90311525467645	-382.7697237828439	-77.25577160322722	61.90529571416578
31	61.90529571416578	-367.03759896252217	-74.63342253981016	61.90529571416578
32	61.89784694492507	-367.03759896252217	-71.86828555245901	61.90529571416578
33	94.7915102416014	-350.34133340260917	-50.97822841419827	94.79753672965307
34	94.78729320661532	-350.34133340260917	-49.56783864022709	94.79753672965307
35	94.78914721599098	-333.4271765426227	-42.71791785999897	94.79753672965307
36	94.7928148311038	-316.98602805346155	-35.961663334300006	94.79753672965307
37	94.79407255399686	-316.98602805346155	-34.59610104249633	94.79753672965307
38	94.78228504880316	-300.42598387255737	-27.99478972109788	94.800272715944
39	94.78640871042946	-267.3970132739092	-21.64129348432633	94.800272715944
40	94.78858065187946	-267.3907782930295	-12.446009462511789	94.800272715944
41	94.79949581265336	-267.3907782930295	-11.631206099840295	94.800272715944
42	94.7795454559509	-267.3907782930295	-9.988204926391195	94.800272715944
43	94.79519753781487	-218.06844545530348	-0.6599937802244901	94.800272715944
44	94.78941667129725	-184.85578536318036	6.278289831517691	94.800272715944
45	94.77078610720358	-184.85578536318036	14.094118310721864	94.800272715944
46	94.79249293063309	-167.86593907305175	18.833528398004304	94.800272715944
47	94.79619502926138	-151.52268801658008	21.557514568362354	94.800272715944
48	94.78605560786428	-151.52268801658008	22.374631330804778	94.800272715944
49	94.78985768389339	-151.52268801658008	25.038817492853806	94.800272715944
50	94.78914012124204	-151.52268801658008	25.88661511528475	94.800272715944
