ID	SUMO departureLink	SUMO arrivalLink	SUMO departureTime	SUMO arrivalTime	SUMO travelTime	MATSim departureLink	MATSim arrivalLink	MATSim departureTime	MATSim arrivalTime	MATSim travelTime	departureTime difference	arrivalTime difference	travelTime difference
3_1	402084477	402084477	26682	26686	4	-111691_4	-111691_4	26682	26682	0	0	4	4
3_1	15257850	15257850	26696	26710	14	-135749_0	-135749_0	26696	26696	0	0	14	14
3_1	158124201	428230629	26729	26743	14	-135749_5	-135749_6	26729	26735	6	0	8	8
6_1	306258895#0	306258895#0	26736	26754	18	-146225_0	-146225_0	26736	26736	0	0	18	18
3_1	56178980	56178980	26797	26826	29	-135749_11	-135749_11	26797	26797	0	0	29	29
6_1	4729558	4729558	26841	26852	11	-143941_5	-143941_5	26841	26841	0	0	11	11
3_1	38008151	4848517	26659	26864	205	-111691_0	-111691_2	26659	26666	7	0	198	198
3_1	124272636	124272636	26875	26905	30	-139367_4	-139367_4	26875	26875	0	0	30	30
3_1	171121264	486260018	26899	26912	13	-121075_4	-118587_0	26899	26907	8	0	5	5
3_1	124045505	124045505	26921	26933	12	-118587_3	-118587_3	26921	26921	0	0	12	12
3_1	486260017#0	486260017#0	26944	26956	12	-118587_7	-118587_7	26944	26944	0	0	12	12
22_1	22760381#0	22760381#0	26945	26963	18	-148857_0	-148857_0	26945	26945	0	0	18	18
15_1	4712852	4712852	26986	26995	9	-118585_11	-118585_11	26986	26986	0	0	9	9
22_1	-445120466	445120466	26978	27002	24	-148973_0	-114501_0	26978	27001	23	0	1	1
3_1	5130429	5130429	27003	27014	11	-118591_13	-118591_13	27003	27003	0	0	11	11
22_1	365378964#2	365378964#2	27043	27044	1	-103163_0	-103163_0	27043	27043	0	0	1	1
15_1	15257849	15257849	27044	27059	15	-118585_18	-118585_18	27044	27044	0	0	15	15
15_1	428230613	428230613	27060	27067	7	-118585_20	-118585_20	27060	27060	0	0	7	7
22_1	359656862#1	377324471#2	27074	27195	121	-108815_0	-119551_0	27074	27099	25	0	96	96
15_1	428227919	428227919	27246	27248	2	-118591_9	-118591_9	27246	27246	0	0	2	2
21_1	306258895#0	306258895#0	27305	27322	17	-146225_0	-146225_0	27305	27305	0	0	17	17
15_1	5130429	5130429	27321	27331	10	-118591_13	-118591_13	27321	27321	0	0	10	10
22_1	-641651075	-641651075	27319	27340	21	-124123_0	-124123_0	27319	27319	0	0	21	21
22_1	174857073#8	174857073#8	27361	27369	8	-145473_0	-145473_0	27361	27361	0	0	8	8
21_1	4729558	4729558	27410	27424	14	-143941_5	-143941_5	27410	27410	0	0	14	14
22_1	124940792#0	124940792#0	27439	27440	1	-111675_1	-111675_1	27439	27439	0	0	1	1
22_1	96260967	96260967	27509	27517	8	-130323_2	-130323_2	27509	27509	0	0	8	8
22_1	96260966	96260966	27547	27568	21	-130323_12	-130323_12	27547	27547	0	0	21	21
22_1	15257846	15257846	27704	27719	15	-106279_3	-106279_3	27704	27704	0	0	15	15
22_1	-564742492	415141362	27719	27736	17	-106279_5	-106279_6	27719	27724	5	0	12	12
22_1	4910873	4910873	27773	27790	17	-122197_6	-122197_6	27773	27773	0	0	17	17
14_1	402084477	402084477	27800	27804	4	-111691_4	-111691_4	27800	27800	0	0	4	4
22_1	4749003	4749003	27789	27811	22	-122197_9	-122197_9	27789	27789	0	0	22	22
14_1	15257850	15257850	27814	27829	15	-135749_0	-135749_0	27814	27814	0	0	15	15
22_1	245265270#1	245265270#1	27797	27832	35	-130321_2	-130321_2	27797	27797	0	0	35	35
14_1	158124201	428230629	27847	27861	14	-135749_5	-135749_6	27847	27853	6	0	8	8
22_1	4749004	4749004	27870	27881	11	-133501_11	-133501_11	27870	27870	0	0	11	11
22_1	364249819	428303127	27665	27909	244	-106279_0	-106279_1	27665	27671	6	0	238	238
14_1	56178980	56178980	27915	27942	27	-135749_11	-135749_11	27915	27915	0	0	27	27
14_1	124272636	124272636	27993	28022	29	-139367_4	-139367_4	27993	27993	0	0	29	29
14_1	171121264	486260018	28017	28030	13	-121075_4	-118587_0	28017	28025	8	0	5	5
14_1	38008151	4848517	27777	28036	259	-111691_0	-111691_2	27777	27784	7	0	252	252
14_1	124045505	124045505	28039	28050	11	-118587_3	-118587_3	28039	28039	0	0	11	11
14_1	486260017#0	486260017#0	28062	28075	13	-118587_7	-118587_7	28062	28062	0	0	13	13
14_1	452336740	452336740	28185	28193	8	-123605_9	-123605_9	28185	28185	0	0	8	8
24_1	4749004	4749004	28398	28409	11	-133501_11	-133501_11	28398	28398	0	0	11	11
27_1	38008151	431431055	28543	28551	8	-111691_0	-111691_1	28543	28545	2	0	6	6
27_1	-564742531#1	6458343#6	28651	28674	23	-113995_0	-113995_1	28651	28681	30	0	-7	-7
11_1	4749004	4749004	28737	28748	11	-133501_11	-133501_11	28737	28737	0	0	11	11
27_2	484815669	484815669	39666	39667	1	-111583_1	-111583_1	39666	39666	0	0	1	1
27_2	245265270#0	245265270#0	39810	39827	17	-110769_0	-110769_0	39810	39810	0	0	17	17
27_2	4749003	4749003	39832	39854	22	-122197_9	-122197_9	39832	39832	0	0	22	22
27_2	500021865	500021865	39869	39875	6	-118583_6	-118583_6	39869	39869	0	0	6	6
24_2	4749006	4749006	40426	40456	30	-106273_3	-106273_3	40426	40426	0	0	30	30
15_2	4759238	4759238	40497	40515	18	-136773_0	-136773_0	40497	40497	0	0	18	18
15_2	15257843	15257843	40575	40600	25	-106281_1	-106281_1	40575	40575	0	0	25	25
15_2	15257844	15257844	40587	40602	15	-106281_4	-106281_4	40587	40587	0	0	15	15
15_2	124940411	124940411	40608	40623	15	-106281_9	-106281_9	40608	40608	0	0	15	15
19_2	306258895#0	306258895#0	40606	40624	18	-146225_0	-146225_0	40606	40606	0	0	18	18
15_2	306258894	306258894	40639	40647	8	-106281_17	-106281_17	40639	40639	0	0	8	8
19_2	4729558	4729558	40711	40722	11	-143941_5	-143941_5	40711	40711	0	0	11	11
22_2	4749006	4749006	41994	42022	28	-106273_3	-106273_3	41994	41994	0	0	28	28
22_2	4712852	4712852	42092	42101	9	-118585_11	-118585_11	42092	42092	0	0	9	9
22_2	15257849	15257849	42150	42165	15	-118585_18	-118585_18	42150	42150	0	0	15	15
22_2	428230613	428230613	42166	42173	7	-118585_20	-118585_20	42166	42166	0	0	7	7
14_2	106927266	106927266	42431	42445	14	-106283_0	-106283_0	42431	42431	0	0	14	14
22_2	37551452#0	37551452#0	42443	42463	20	-113881_0	-113881_0	42443	42443	0	0	20	20
14_2	14017470	14017470	42460	42483	23	-106283_4	-106283_4	42460	42460	0	0	23	23
14_2	428232211	96260970	42536	42547	11	-118589_4	-118589_5	42536	42546	10	0	1	1
14_2	96260967	96260967	42593	42601	8	-130323_2	-130323_2	42593	42593	0	0	8	8
14_2	96260966	96260966	42631	42652	21	-130323_12	-130323_12	42631	42631	0	0	21	21
22_2	37551450#0	343732023#0	42528	42674	146	-125803_0	-131599_0	42528	42571	43	0	103	103
3_2	4759238	4759238	42674	42692	18	-136773_0	-136773_0	42674	42674	0	0	18	18
14_2	97129768#1	97129768#1	42734	42758	24	-147665_10	-147665_10	42734	42734	0	0	24	24
22_2	432313096#1	432313096#1	42767	42768	1	-148237_1	-148237_1	42767	42767	0	0	1	1
3_2	15257843	15257843	42752	42777	25	-106281_1	-106281_1	42752	42752	0	0	25	25
3_2	15257844	15257844	42764	42779	15	-106281_4	-106281_4	42764	42764	0	0	15	15
3_2	124940411	124940411	42785	42800	15	-106281_9	-106281_9	42785	42785	0	0	15	15
14_2	15257843	15257843	42794	42818	24	-106281_1	-106281_1	42794	42794	0	0	24	24
14_2	15257844	15257844	42806	42822	16	-106281_4	-106281_4	42806	42806	0	0	16	16
3_2	306258894	306258894	42816	42824	8	-106281_17	-106281_17	42816	42816	0	0	8	8
14_2	124940411	124940411	42827	42842	15	-106281_9	-106281_9	42827	42827	0	0	15	15
14_2	306258894	306258894	42858	42866	8	-106281_17	-106281_17	42858	42858	0	0	8	8
11_2	306258895#0	306258895#0	43156	43175	19	-146225_0	-146225_0	43156	43156	0	0	19	19
22_2	335668924#0	335668924#0	43175	43182	7	-119891_0	-119891_0	43175	43175	0	0	7	7
22_2	415358599	415358599	43198	43200	2	-131865_0	-131865_0	43198	43198	0	0	2	2
11_2	4729558	4729558	43261	43273	12	-143941_5	-143941_5	43261	43261	0	0	12	12
22_2	397027079	397027079	43264	43273	9	-103843_0	-103843_0	43264	43264	0	0	9	9
22_2	387237224	387237224	43300	43314	14	-106339_0	-106339_0	43300	43300	0	0	14	14
