Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	11:11:59	11:11:59	11:11:59			11:11:59	11:11:59	11:11:59	11:11:59	11:11:59	11:11:59	11:11:59	11:11:59	11:11:59	11:11:59	11:11:59			11:12:00	11:12:00		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	11:12:00	11:12:00	11:12:00	11:12:00	11:12:01	11:12:01	11:12:01	11:12:01	11:12:01	11:12:01	11:12:02	11:12:02	11:12:02	11:12:02	11:12:02	11:12:02			11:12:03	11:12:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
2	11:12:03	11:12:03	11:12:03	11:12:03	11:12:03	11:12:03			11:12:03	11:12:03	11:12:04	11:12:04	11:12:04	11:12:04	11:12:04	11:12:04			11:12:04	11:12:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	11:12:04	11:12:04	11:12:04	11:12:04	11:12:04	11:12:04			11:12:04	11:12:04	11:12:05	11:12:05	11:12:05	11:12:05	11:12:05	11:12:05			11:12:06	11:12:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	11:12:06	11:12:06	11:12:06	11:12:06	11:12:06	11:12:06			11:12:06	11:12:06	11:12:07	11:12:07	11:12:07	11:12:07	11:12:07	11:12:07			11:12:07	11:12:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	11:12:07	11:12:07	11:12:07	11:12:07	11:12:07	11:12:07			11:12:07	11:12:07	11:12:08	11:12:08	11:12:08	11:12:08	11:12:08	11:12:08			11:12:08	11:12:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	11:12:08	11:12:08	11:12:08	11:12:08	11:12:08	11:12:08			11:12:08	11:12:08	11:12:09	11:12:09	11:12:09	11:12:09	11:12:09	11:12:09			11:12:09	11:12:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	11:12:09	11:12:09	11:12:09	11:12:09	11:12:09	11:12:09			11:12:10	11:12:10	11:12:10	11:12:10	11:12:10	11:12:10	11:12:10	11:12:10			11:12:11	11:12:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	11:12:11	11:12:11	11:12:11	11:12:11	11:12:11	11:12:11			11:12:11	11:12:11	11:12:11	11:12:11	11:12:11	11:12:11	11:12:11	11:12:11			11:12:12	11:12:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	11:12:12	11:12:12	11:12:12	11:12:12	11:12:12	11:12:12			11:12:12	11:12:12	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13			11:12:13	11:12:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13	11:12:13	11:12:14	11:12:14	11:12:14	11:12:14	11:12:14	11:12:14	11:12:14	11:12:14	11:12:16	11:12:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
11	11:12:16	11:12:16	11:12:16	11:12:16	11:12:17	11:12:17			11:12:17	11:12:17	11:12:17	11:12:17	11:12:17	11:12:17	11:12:17	11:12:17			11:12:18	11:12:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
12	11:12:18	11:12:18	11:12:18	11:12:18	11:12:18	11:12:18			11:12:18	11:12:18	11:12:18	11:12:18	11:12:18	11:12:18	11:12:18	11:12:18			11:12:19	11:12:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
13	11:12:19	11:12:19	11:12:19	11:12:19	11:12:19	11:12:19			11:12:19	11:12:19	11:12:20	11:12:20	11:12:20	11:12:20	11:12:20	11:12:20			11:12:21	11:12:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
14	11:12:21	11:12:21	11:12:21	11:12:21	11:12:21	11:12:21			11:12:21	11:12:21	11:12:22	11:12:22	11:12:22	11:12:22	11:12:22	11:12:22			11:12:22	11:12:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
15	11:12:22	11:12:22	11:12:22	11:12:22	11:12:22	11:12:22			11:12:22	11:12:22	11:12:23	11:12:23	11:12:23	11:12:23	11:12:23	11:12:23			11:12:23	11:12:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
16	11:12:23	11:12:23	11:12:23	11:12:23	11:12:23	11:12:23			11:12:23	11:12:23	11:12:24	11:12:24	11:12:24	11:12:24	11:12:24	11:12:24			11:12:24	11:12:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
17	11:12:24	11:12:24	11:12:24	11:12:24	11:12:24	11:12:24			11:12:24	11:12:24	11:12:25	11:12:25	11:12:25	11:12:25	11:12:25	11:12:25			11:12:26	11:12:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
18	11:12:26	11:12:26	11:12:26	11:12:26	11:12:26	11:12:26			11:12:26	11:12:26	11:12:26	11:12:26	11:12:26	11:12:26	11:12:26	11:12:26			11:12:27	11:12:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
19	11:12:27	11:12:27	11:12:27	11:12:27	11:12:27	11:12:27			11:12:27	11:12:27	11:12:28	11:12:28	11:12:28	11:12:28	11:12:28	11:12:28			11:12:28	11:12:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
20	11:12:28	11:12:28	11:12:28	11:12:28	11:12:28	11:12:28	11:12:28	11:12:29	11:12:29	11:12:29	11:12:29	11:12:29	11:12:29	11:12:29	11:12:29	11:12:29	11:12:29	11:12:29	11:12:32	11:12:32		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
21	11:12:32	11:12:32	11:12:32	11:12:32	11:12:32	11:12:32			11:12:32	11:12:32	11:12:32	11:12:32	11:12:32	11:12:32	11:12:32	11:12:32			11:12:33	11:12:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
22	11:12:33	11:12:33	11:12:33	11:12:33	11:12:33	11:12:33			11:12:33	11:12:33	11:12:34	11:12:34	11:12:34	11:12:34	11:12:34	11:12:34			11:12:35	11:12:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
23	11:12:35	11:12:35	11:12:35	11:12:35	11:12:35	11:12:35			11:12:35	11:12:35	11:12:35	11:12:35	11:12:35	11:12:35	11:12:35	11:12:35			11:12:36	11:12:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
24	11:12:36	11:12:36	11:12:36	11:12:36	11:12:36	11:12:36			11:12:36	11:12:36	11:12:36	11:12:36	11:12:36	11:12:36	11:12:36	11:12:36			11:12:37	11:12:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
25	11:12:37	11:12:37	11:12:37	11:12:37	11:12:37	11:12:37			11:12:37	11:12:37	11:12:38	11:12:38	11:12:38	11:12:38	11:12:38	11:12:38			11:12:38	11:12:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
26	11:12:38	11:12:38	11:12:38	11:12:38	11:12:38	11:12:38			11:12:38	11:12:38	11:12:39	11:12:39	11:12:39	11:12:39	11:12:39	11:12:39			11:12:39	11:12:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
27	11:12:39	11:12:39	11:12:39	11:12:39	11:12:39	11:12:39			11:12:39	11:12:39	11:12:40	11:12:40	11:12:40	11:12:40	11:12:40	11:12:40			11:12:40	11:12:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
28	11:12:40	11:12:40	11:12:40	11:12:40	11:12:40	11:12:40			11:12:40	11:12:40	11:12:41	11:12:41	11:12:41	11:12:41	11:12:41	11:12:41			11:12:41	11:12:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
29	11:12:41	11:12:41	11:12:41	11:12:41	11:12:41	11:12:41			11:12:41	11:12:41	11:12:42	11:12:42	11:12:42	11:12:42	11:12:42	11:12:42			11:12:42	11:12:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
30	11:12:42	11:12:42	11:12:42	11:12:42	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:43	11:12:46	11:12:46		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
31	11:12:46	11:12:46	11:12:46	11:12:46	11:12:46	11:12:46			11:12:46	11:12:46	11:12:46	11:12:46	11:12:46	11:12:46	11:12:46	11:12:46			11:12:47	11:12:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
32	11:12:47	11:12:47	11:12:47	11:12:47	11:12:47	11:12:47			11:12:47	11:12:47	11:12:48	11:12:48	11:12:48	11:12:48	11:12:48	11:12:48			11:12:48	11:12:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
33	11:12:48	11:12:48	11:12:48	11:12:48	11:12:48	11:12:48			11:12:48	11:12:48	11:12:49	11:12:49	11:12:49	11:12:49	11:12:49	11:12:49			11:12:49	11:12:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
34	11:12:49	11:12:49	11:12:49	11:12:49	11:12:49	11:12:49			11:12:49	11:12:49	11:12:51	11:12:51	11:12:51	11:12:51	11:12:51	11:12:51			11:12:51	11:12:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
35	11:12:51	11:12:51	11:12:51	11:12:51	11:12:51	11:12:51			11:12:51	11:12:51	11:12:53	11:12:53	11:12:53	11:12:53	11:12:53	11:12:53			11:12:53	11:12:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
36	11:12:53	11:12:53	11:12:53	11:12:53	11:12:53	11:12:53			11:12:53	11:12:53	11:12:54	11:12:54	11:12:54	11:12:54	11:12:54	11:12:54			11:12:55	11:12:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
37	11:12:55	11:12:55	11:12:55	11:12:55	11:12:55	11:12:55			11:12:55	11:12:55	11:12:56	11:12:56	11:12:56	11:12:56	11:12:56	11:12:56			11:12:56	11:12:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
38	11:12:56	11:12:56	11:12:56	11:12:56	11:12:56	11:12:56			11:12:56	11:12:56	11:12:57	11:12:57	11:12:57	11:12:57	11:12:57	11:12:57			11:12:58	11:12:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
39	11:12:58	11:12:58	11:12:58	11:12:58	11:12:58	11:12:58			11:12:58	11:12:58	11:12:59	11:12:59	11:12:59	11:12:59	11:12:59	11:12:59			11:13:00	11:13:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
40	11:13:00	11:13:00	11:13:00	11:13:00	11:13:00	11:13:00	11:13:00	11:13:00	11:13:00	11:13:00	11:13:01	11:13:01	11:13:01	11:13:01	11:13:01	11:13:01	11:13:01	11:13:01	11:13:03	11:13:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
41	11:13:04	11:13:04	11:13:04	11:13:04	11:13:04	11:13:04			11:13:04	11:13:04	11:13:04	11:13:04	11:13:04	11:13:04	11:13:04	11:13:04			11:13:05	11:13:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
42	11:13:05	11:13:05	11:13:05	11:13:05	11:13:05	11:13:05			11:13:05	11:13:05	11:13:05	11:13:05	11:13:05	11:13:05	11:13:05	11:13:05			11:13:06	11:13:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
43	11:13:06	11:13:06	11:13:06	11:13:06	11:13:06	11:13:06			11:13:06	11:13:06	11:13:07	11:13:07	11:13:07	11:13:07	11:13:07	11:13:07			11:13:07	11:13:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
44	11:13:07	11:13:07	11:13:07	11:13:07	11:13:07	11:13:07			11:13:07	11:13:07	11:13:08	11:13:08	11:13:08	11:13:08	11:13:08	11:13:08			11:13:08	11:13:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
45	11:13:09	11:13:09	11:13:09	11:13:09	11:13:09	11:13:09			11:13:09	11:13:09	11:13:10	11:13:10	11:13:10	11:13:10	11:13:10	11:13:10			11:13:10	11:13:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
46	11:13:10	11:13:10	11:13:10	11:13:10	11:13:10	11:13:10			11:13:10	11:13:10	11:13:11	11:13:11	11:13:11	11:13:11	11:13:11	11:13:11			11:13:11	11:13:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
47	11:13:11	11:13:11	11:13:11	11:13:11	11:13:11	11:13:11			11:13:11	11:13:11	11:13:12	11:13:12	11:13:12	11:13:12	11:13:12	11:13:12			11:13:12	11:13:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
48	11:13:12	11:13:12	11:13:12	11:13:12	11:13:12	11:13:12			11:13:12	11:13:12	11:13:13	11:13:13	11:13:13	11:13:13	11:13:13	11:13:13			11:13:13	11:13:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
49	11:13:13	11:13:13	11:13:13	11:13:13	11:13:13	11:13:13			11:13:13	11:13:13	11:13:14	11:13:14	11:13:14	11:13:14	11:13:14	11:13:14			11:13:15	11:13:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
50	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:15	11:13:18	11:13:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:02
