ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-382.7295945744465	-382.7295945744465	-382.7295945744465	-382.7295945744465
1	-326.9645028163956	-382.7295945744465	-354.847048695421	-326.9645028163956
2	-304.90717277564005	-382.7295945744465	-341.6465842084693	-304.9040109395038
3	-255.68457891903506	-382.7295945744465	-315.7472629490232	-255.68457891903506
4	-224.91364797682465	-382.7295945744465	-297.9877030155827	-224.91286813751998
5	-203.00960026257067	-382.7295945744465	-287.036069078108	-203.00960026257067
6	-187.56851577031634	-382.7295945744465	-278.77329481653686	-187.5677359310117
7	-179.85500348359125	-382.7295945744465	-272.5395471586671	-179.85500348359125
8	-137.1040512520288	-382.7295945744465	-249.3273780178503	-137.103846075751
9	-122.83233798722905	-382.7295945744465	-238.27826601372897	-122.83196884312021
10	-115.1385308120139	-382.7295945744465	-230.25548273019808	-115.13495247635899
11	-99.67039138333166	-382.7295945744465	-220.51955543977203	-99.67018620705386
12	-91.95321918743988	-382.7295945744465	-209.87462002443323	-91.95083962798533
13	-85.40237646931848	-382.7295945744465	-199.91140748941626	-85.39995048488893
14	-78.89511311162448	-382.7295945744465	-192.79702282970777	-78.89449393976822
15	-65.75582694258848	-382.7295945744465	-184.93976558363156	-65.75578583493059
16	-38.368650743408104	-382.7295945744465	-169.52010791538825	-38.367170315199296
17	-31.7590319199631	-382.7295945744465	-162.82174223966578	-31.75886756983572
18	-25.1953397379587	-382.7295945744465	-155.43463593760714	-25.192749043026925
19	-12.188145544983637	-382.7295945744465	-146.01136708364936	-12.187284074952407
20	2.062924413011954	-382.7295945744465	-132.5329997729533	2.065427527274468
21	2.0655510561602037	-382.7295945744465	-130.34820631307917	2.0655921638180876
22	9.753385734497629	-382.7295945744465	-123.42139069304429	9.755318716856179
23	17.45483476680032	-382.7295945744465	-116.18989545048834	17.45483476680032
24	24.036763472083653	-382.7295945744465	-111.06891094431188	24.037092102997267
25	31.762908226709023	-382.7295945744465	-103.28924096225552	31.764964602529975
26	31.764717943600353	-382.7295945744465	-101.77046860662459	31.764964602529975
27	31.765868712976957	-382.7295945744465	-99.9794753253991	31.76595085459111
28	31.764555126289558	-382.7295945744465	-96.23407707458483	31.766156784716365
29	38.366172894191244	-382.7295945744465	-92.49052484243602	38.36658298726164
30	38.36674662417829	-382.7295945744465	-90.75462342423567	38.36682910789334
31	38.36378660748089	-382.7295945744465	-90.21331007001727	38.36682910789334
32	38.36398797560021	-382.7295945744465	-88.15887234071863	38.36682910789334
33	52.6311775167009	-382.7295945744465	-77.16640587514671	52.63692366125255
34	52.63388580013756	-382.7295945744465	-74.60809815363014	52.63692366125255
