Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:04:08	17:04:08	17:04:08			17:04:08	17:04:08	17:04:08	17:04:08	17:04:08	17:04:11	17:04:11	17:04:11	17:04:11	17:04:11	17:04:11			17:04:12	17:04:12		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
1	17:04:12	17:04:12	17:04:12	17:04:12	17:04:13	17:04:13	17:04:13	17:04:13	17:04:13	17:04:13	17:04:15	17:04:15	17:04:15	17:04:15	17:04:15	17:04:15			17:04:16	17:04:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
2	17:04:16	17:04:16	17:04:16	17:04:16	17:04:16	17:04:16			17:04:16	17:04:16	17:04:19	17:04:19	17:04:19	17:04:19	17:04:19	17:04:19			17:04:19	17:04:19		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	17:04:19	17:04:19	17:04:19	17:04:19	17:04:19	17:04:19			17:04:19	17:04:19	17:04:22	17:04:22	17:04:22	17:04:22	17:04:22	17:04:22			17:04:22	17:04:22		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	17:04:22	17:04:22	17:04:22	17:04:22	17:04:23	17:04:23			17:04:23	17:04:23	17:04:25	17:04:25	17:04:25	17:04:25	17:04:25	17:04:25			17:04:25	17:04:25		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	17:04:26	17:04:26	17:04:26	17:04:26	17:04:26	17:04:26			17:04:26	17:04:26	17:04:28	17:04:28	17:04:28	17:04:28	17:04:28	17:04:28			17:04:29	17:04:29		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	17:04:29	17:04:29	17:04:29	17:04:29	17:04:29	17:04:29			17:04:29	17:04:29	17:04:31	17:04:31	17:04:31	17:04:31	17:04:31	17:04:31			17:04:32	17:04:32		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	17:04:32	17:04:33	17:04:33	17:04:33	17:04:33	17:04:33			17:04:33	17:04:33	17:04:35	17:04:35	17:04:35	17:04:35	17:04:35	17:04:35			17:04:36	17:04:36		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	17:04:36	17:04:36	17:04:36	17:04:36	17:04:36	17:04:36			17:04:36	17:04:36	17:04:38	17:04:38	17:04:38	17:04:38	17:04:38	17:04:38			17:04:39	17:04:39		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	17:04:39	17:04:39	17:04:39	17:04:39	17:04:39	17:04:39			17:04:39	17:04:39	17:04:41	17:04:41	17:04:41	17:04:41	17:04:41	17:04:41			17:04:42	17:04:42		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
