SUMOLinkID	MATSimLinkID	distance
-102917977	-147095_0	 0.12000
-103052747	-120719_1	 0.03000
-103052754	-103533_0	 0.18000
-106731580#0	-142695_0	 0.09000
-106731580#1	-142695_0	 0.09000
-106731580#2	-142695_0	 0.09000
-106731580#3	-102767_0	 0.09000
-124940792#1	-129245_6	 0.00000
-132923308#1	-106091_0	 0.07000
-138384190	-128133_1	 0.09000
-155091951#0	-117257_1	 0.12000
-155091951#1	-143385_1	 0.15000
-155091951#2	-143385_1	 0.09000
-155091951#3	-143385_1	 0.03000
-155091956#0	-123621_1	 0.23000
-155091956#1	-106313_5	 0.24000
-155091956#2	-128133_1	 0.09000
-156738946#0	-122945_6	 0.01000
-156738946#1	-128441_0	 0.01000
-156738947#0	-106235_0	 0.09000
-156738947#1	-108361_0	 0.08000
-156738947#2	-102909_0	 0.12000
-156745205	-103991_0	 0.15000
-157464218#0	-138169_1	 0.11000
-157464218#1	-148145_1	 0.10000
-157464218#2	-148145_1	 0.10000
-158612540#0	-127503_5	 0.03000
-158612540#1	-127503_4	 0.10000
-158612540#2	-127475_0	 0.10000
-158612540#3	-127475_0	 0.09000
-158718822	-119927_0	 0.13000
-165086023	-131671_0	 0.12000
-165086024	-115343_0	 0.09000
-165086025#0	-131671_0	 0.12000
-165086025#1	-131671_0	 0.12000
-165086025#2	-126073_0	 0.13000
-165086025#3	-114959_1	 0.12000
-165086026	-131671_0	 0.12000
-165086028	-115343_0	 0.08000
-168918695	-113369_0	 0.08000
-169510049	-131671_1	 0.05000
-169510050#0	-131793_0	 0.11000
-169510050#1	-109211_0	 0.11000
-169510053	-103501_0	 0.11000
-169511254	-124277_0	 0.18000
-169734862#1	-129687_1	 0.07000
-169734863#1	-124325_0	 0.07000
-169734864#0	-129705_1	 0.03000
-169734864#1	-129705_1	 0.03000
-169786660	-127203_1	 0.06000
-169917353	-131265_0	 0.14000
-169917355#0	-109651_0	 0.14000
-169917355#1	-109651_0	 0.14000
-169917355#2	-144543_0	 0.14000
-169917355#3	-131877_0	 0.14000
-169917355#4	-130727_2	 0.10000
-169917355#5	-130727_2	 0.08000
-169917357	-131265_0	 0.10000
-169917541#1	-103687_0	 0.10000
-169917541#2	-103687_1	 0.08000
-169917541#3	-108657_0	 0.12000
-169917541#4	-103073_0	 0.11000
-171173068#1	-114717_0	 0.14000
-171173069#1	-114717_0	 0.14000
-171173069#2	-114717_0	 0.16000
-171173069#3	-124387_0	 0.14000
-171173069#4	-124387_0	 0.14000
-171173069#6	-124387_0	 0.14000
-171173069#8	-133971_4	 0.12000
-171729599#0	-109483_0	 0.05000
-171729599#1	-109483_0	 0.11000
-171729599#2	-115397_0	 0.09000
-171729603#0	-115397_0	 0.09000
-171729603#1	-115397_0	 0.09000
-171729605#0	-115397_0	 0.10000
-171729605#1	-109483_0	 0.05000
-172567543#1	-108359_0	 0.12000
-173221855#0	-136275_0	 0.11000
-173221855#1	-146545_0	 0.07000
-173221855#2	-146545_0	 0.09000
-173221855#3	-103729_1	 0.11000
-173221855#4	-103729_0	 0.11000
-173222265	-134995_3	 0.06000
-173222266#0	-134995_3	 0.09000
-173222266#1	-134995_3	 0.07000
-173222266#2	-134995_3	 0.06000
-173222266#3	-103301_0	 0.07000
-173222267	-114347_0	 0.09000
-173222269	-134995_3	 0.07000
-173339758#1	-115107_0	 0.07000
-173339758#3	-144993_0	 0.12000
-173339758#6	-103771_0	 0.12000
-173339777#1	-115107_0	 0.07000
-173342547#1	-131807_1	 0.07000
-173342547#3	-131807_0	 0.06000
-173342547#5	-131807_0	 0.09000
-173342547#6	-124359_0	 0.09000
-173342547#8	-124359_0	 0.06000
-173878820#0	-108441_0	 0.16000
-173878820#1	-119619_0	 0.14000
-173878820#2	-109443_0	 0.16000
-173878820#3	-109443_0	 0.15000
-173878820#4	-109443_0	 0.14000
-173878826#2	-114741_0	 0.14000
-173878826#4	-119851_0	 0.14000
-173878860	-141861_1	 0.12000
-173878861	-141861_0	 0.06000
-173878879	-135561_0	 0.08000
-173878904#1	-103645_0	 0.16000
-173878904#3	-146737_0	 0.14000
-174326458#0	-115117_0	 0.07000
-174329794	-109213_1	 0.10000
-174329805#1	-133813_0	 0.16000
-174329805#3	-103291_0	 0.17000
-174355451#0	-115455_0	 0.07000
-174363611	-119627_0	 0.14000
-174369629	-122561_0	 0.07000
-174369640	-122561_0	 0.07000
-174382800#2	-106287_1	 0.11000
-174382842	-135927_0	 0.08000
-174388265#1	-114987_0	 0.14000
-174393608#1	-130729_0	 0.15000
-174394043#0	-103845_0	 0.08000
-174394043#1	-103845_0	 0.08000
-174394149#1	-131823_0	 0.16000
-174400233#1	-138199_0	 0.06000
-174547453#2	-126101_0	 0.07000
-174802989#2	-122661_0	 0.07000
-174855256#0	-114505_2	 0.12000
-174855256#2	-109061_0	 0.14000
-174855257#0	-146009_1	 0.02000
-174855258#1	-142127_1	 0.05000
-174857070#1	-111531_0	 0.09000
-174857070#2	-129739_1	 0.11000
-174857070#3	-129739_1	 0.10000
-174857070#5	-119727_0	 0.08000
-174857070#8	-109039_0	 0.10000
-174857071#2	-134719_0	 0.10000
-174857073#5	-109401_0	 0.06000
-174857073#7	-145473_0	 0.11000
-174857073#9	-133337_4	 0.03000
-174857075#2	-127399_0	 0.07000
-174863878	-146009_1	 0.04000
-174863879	-146009_1	 0.06000
-175009336#1	-114505_2	 0.03000
-175009337	-114505_2	 0.05000
-175460650#1	-103165_0	 0.06000
-175473974#3	-148507_0	 0.10000
-175494283	-132565_0	 0.14000
-175951110#2	-121577_0	 0.10000
-175951110#3	-114299_0	 0.10000
-175951110#4	-148237_1	 0.06000
-175951110#5	-148237_1	 0.08000
-175951110#6	-103047_0	 0.10000
-175951355#0	-114275_0	 0.10000
-175951355#1	-137973_3	 0.07000
-176020074#2	-115017_0	 0.07000
-176020435#0	-109443_0	 0.15000
-176020435#1	-125987_0	 0.14000
-176073865#2	-131599_0	 0.09000
-176236543#3	-129649_0	 0.14000
-176236543#5	-114081_1	 0.12000
-176238025#1	-115355_0	 0.14000
-176411158#0	-115115_0	 0.07000
-204323477	-114501_0	 0.09000
-204323479#2	-113883_0	 0.07000
-206858889#1	-124359_0	 0.09000
-206858890#1	-131807_0	 0.09000
-206880346#1	-136265_0	 0.10000
-209695044	-103085_0	 0.03000
-215404543#2	-103083_0	 0.07000
-215404828	-149173_0	 0.14000
-215404829	-129261_0	 0.08000
-215404830	-149173_0	 0.14000
-215405033	-129261_0	 0.14000
-215409817	-104061_1	 0.09000
-215409819#0	-115571_0	 0.06000
-215409819#1	-114327_0	 0.04000
-215409820	-145947_0	 0.01000
-223423546#0	-109375_0	 0.12000
-223423546#1	-109375_1	 0.08000
-223423546#2	-143537_0	 0.07000
-223423546#3	-143537_0	 0.06000
-223423546#4	-143537_0	 0.07000
-223594080#0	-103797_0	 0.10000
-223594080#1	-108721_0	 0.10000
-223594081	-106843_0	 0.09000
-223594082#0	-122603_0	 0.12000
-223594082#1	-129577_0	 0.09000
-223594083	-149225_0	 0.10000
-223594084#0	-138147_0	 0.11000
-223594084#1	-138147_0	 0.10000
-223594085#1	-137239_0	 0.09000
-223594086#2	-126715_1	 0.09000
-223594087#0	-108721_0	 0.10000
-223594087#1	-108721_0	 0.11000
-223594087#2	-112829_0	 0.10000
-223594088#0	-140095_0	 0.10000
-223594088#1	-140095_0	 0.12000
-223594088#2	-114407_0	 0.10000
-223594089#0	-114407_0	 0.12000
-223594089#1	-126081_0	 0.12000
-223594089#2	-126081_0	 0.10000
-223594090#0	-136821_0	 0.11000
-223594090#1	-136821_0	 0.10000
-223594093#0	-111809_1	 0.06000
-223594093#1	-108669_0	 0.10000
-223594097	-131689_0	 0.10000
-223594101	-134131_0	 0.10000
-223594102	-119871_0	 0.10000
-223594107	-143409_0	 0.10000
-223594110	-131661_0	 0.10000
-223594111	-128779_0	 0.10000
-223594112	-134125_0	 0.10000
-223594113#0	-134681_0	 0.05000
-223594113#1	-134681_0	 0.07000
-223594113#10	-115409_0	 0.10000
-223594113#11	-115409_0	 0.11000
-223594113#12	-133303_0	 0.10000
-223594113#13	-122459_1	 0.08000
-223594113#14	-135377_0	 0.10000
-223594113#15	-135377_0	 0.15000
-223594113#16	-140059_0	 0.15000
-223594113#17	-140059_0	 0.10000
-223594113#18	-141983_0	 0.10000
-223594113#2	-112829_0	 0.08000
-223594113#20	-102307_0	 0.08000
-223594113#21	-115399_0	 0.10000
-223594113#3	-124191_0	 0.06000
-223594113#4	-124191_0	 0.06000
-223594113#5	-124191_0	 0.06000
-223594113#6	-124191_0	 0.06000
-223594113#7	-124191_0	 0.08000
-223594113#8	-103111_0	 0.10000
-223594113#9	-127425_0	 0.10000
-223594114#1	-115057_0	 0.06000
-223594114#10	-143483_0	 0.10000
-223594114#11	-134007_0	 0.11000
-223594114#2	-107773_0	 0.07000
-223594114#3	-103799_0	 0.10000
-223594114#6	-103799_0	 0.15000
-223594114#7	-121577_0	 0.15000
-223594114#8	-143483_0	 0.14000
-223594115#0	-148639_0	 0.10000
-223594115#1	-130717_0	 0.07000
-226197725#0	-147095_2	 0.14000
-226197725#1	-147095_2	 0.15000
-226197725#2	-147095_1	 0.18000
-226323963	-144997_0	 0.12000
-22760374#0	-103339_0	 0.14000
-22760374#1	-103339_0	 0.16000
-22760374#2	-103339_0	 0.16000
-22760374#3	-129747_0	 0.15000
-22760374#4	-129747_0	 0.14000
-22760375	-114801_0	 0.14000
-22760376	-109513_0	 0.09000
-22760377#0	-119891_0	 0.04000
-22760377#1	-119891_0	 0.06000
-22760377#2	-119891_0	 0.06000
-22760377#3	-119891_0	 0.10000
-22760377#4	-119891_0	 0.12000
-22760377#5	-119891_0	 0.14000
-22760378#0	-101815_0	 0.16000
-22760378#1	-132409_0	 0.14000
-22760378#2	-132409_0	 0.14000
-22760378#3	-102075_0	 0.14000
-22760378#4	-102075_0	 0.14000
-22760378#5	-106877_0	 0.14000
