Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:21:29	12:21:29	12:21:29			12:21:29	12:21:29	12:21:29	12:21:29	12:21:29	12:21:30	12:21:30	12:21:30	12:21:30	12:21:30	12:21:30			12:21:31	12:21:31		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:02
1	12:21:31	12:21:31	12:21:31	12:21:31	12:21:32	12:21:32	12:21:32	12:21:32	12:21:32	12:21:32	12:21:33	12:21:33	12:21:33	12:21:33	12:21:33	12:21:33			12:21:34	12:21:34		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
2	12:21:34	12:21:34	12:21:34	12:21:34	12:21:34	12:21:34			12:21:34	12:21:34	12:21:35	12:21:35	12:21:35	12:21:35	12:21:35	12:21:35			12:21:35	12:21:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	12:21:35	12:21:35	12:21:35	12:21:35	12:21:35	12:21:35			12:21:35	12:21:35	12:21:36	12:21:36	12:21:36	12:21:36	12:21:36	12:21:36			12:21:37	12:21:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	12:21:37	12:21:37	12:21:37	12:21:37	12:21:37	12:21:37			12:21:37	12:21:37	12:21:38	12:21:38	12:21:38	12:21:38	12:21:38	12:21:38			12:21:39	12:21:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39			12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39	12:21:39			12:21:40	12:21:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	12:21:40	12:21:40	12:21:40	12:21:40	12:21:40	12:21:40			12:21:40	12:21:40	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41	12:21:41			12:21:42	12:21:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42			12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42	12:21:42			12:21:43	12:21:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43	12:21:43			12:21:43	12:21:43	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44	12:21:44			12:21:45	12:21:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45	12:21:45			12:21:45	12:21:45	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46	12:21:46			12:21:46	12:21:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:50	12:21:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
11	12:21:50	12:21:50	12:21:50	12:21:50	12:21:50	12:21:50			12:21:50	12:21:50	12:21:51	12:21:51	12:21:51	12:21:51	12:21:51	12:21:51			12:21:51	12:21:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
12	12:21:51	12:21:51	12:21:51	12:21:51	12:21:51	12:21:51			12:21:51	12:21:51	12:21:52	12:21:52	12:21:52	12:21:52	12:21:52	12:21:52			12:21:53	12:21:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
13	12:21:53	12:21:53	12:21:53	12:21:53	12:21:53	12:21:53			12:21:53	12:21:53	12:21:54	12:21:54	12:21:54	12:21:54	12:21:54	12:21:54			12:21:54	12:21:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
14	12:21:54	12:21:54	12:21:54	12:21:54	12:21:54	12:21:54			12:21:54	12:21:54	12:21:55	12:21:55	12:21:55	12:21:55	12:21:55	12:21:55			12:21:56	12:21:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
15	12:21:56	12:21:56	12:21:56	12:21:56	12:21:56	12:21:56			12:21:56	12:21:56	12:21:57	12:21:57	12:21:57	12:21:57	12:21:57	12:21:57			12:21:57	12:21:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
16	12:21:57	12:21:57	12:21:57	12:21:57	12:21:57	12:21:57			12:21:57	12:21:57	12:21:58	12:21:58	12:21:58	12:21:58	12:21:58	12:21:58			12:21:59	12:21:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
17	12:21:59	12:21:59	12:21:59	12:21:59	12:21:59	12:21:59			12:21:59	12:21:59	12:22:00	12:22:00	12:22:00	12:22:00	12:22:00	12:22:00			12:22:00	12:22:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
18	12:22:00	12:22:00	12:22:00	12:22:00	12:22:01	12:22:01			12:22:01	12:22:01	12:22:01	12:22:01	12:22:01	12:22:01	12:22:01	12:22:01			12:22:02	12:22:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
19	12:22:02	12:22:02	12:22:02	12:22:02	12:22:02	12:22:02			12:22:02	12:22:02	12:22:03	12:22:03	12:22:03	12:22:03	12:22:03	12:22:03			12:22:04	12:22:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
20	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:07	12:22:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
21	12:22:07	12:22:07	12:22:07	12:22:07	12:22:07	12:22:07			12:22:07	12:22:07	12:22:08	12:22:08	12:22:08	12:22:08	12:22:08	12:22:08			12:22:08	12:22:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
