Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	09:36:04	09:36:04	09:36:04			09:36:04	09:36:04	09:36:04	09:36:04	09:36:04	09:36:06	09:36:06	09:36:06	09:36:06	09:36:06	09:36:06			09:36:08	09:36:08		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
1	09:36:08	09:36:08	09:36:08	09:36:08	09:36:08	09:36:08	09:36:08	09:36:08	09:36:08	09:36:08	09:36:12	09:36:12	09:36:12	09:36:12	09:36:12	09:36:12			09:36:12	09:36:12		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
2	09:36:12	09:36:12	09:36:12	09:36:12	09:36:13	09:36:13			09:36:13	09:36:13	09:36:15	09:36:15	09:36:15	09:36:15	09:36:15	09:36:15			09:36:16	09:36:16		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	09:36:16	09:36:16	09:36:16	09:36:16	09:36:16	09:36:16			09:36:16	09:36:16	09:36:19	09:36:19	09:36:19	09:36:19	09:36:19	09:36:19			09:36:20	09:36:20		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	09:36:20	09:36:20	09:36:20	09:36:20	09:36:20	09:36:20			09:36:20	09:36:20	09:36:23	09:36:23	09:36:23	09:36:23	09:36:23	09:36:23			09:36:24	09:36:24		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	09:36:24	09:36:24	09:36:24	09:36:24	09:36:24	09:36:24			09:36:24	09:36:24	09:36:26	09:36:26	09:36:26	09:36:26	09:36:26	09:36:26			09:36:27	09:36:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	09:36:27	09:36:27	09:36:27	09:36:27	09:36:27	09:36:27			09:36:27	09:36:27	09:36:30	09:36:30	09:36:30	09:36:30	09:36:30	09:36:30			09:36:30	09:36:30		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	09:36:30	09:36:30	09:36:30	09:36:30	09:36:31	09:36:31			09:36:31	09:36:31	09:36:33	09:36:33	09:36:33	09:36:33	09:36:33	09:36:33			09:36:34	09:36:34		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	09:36:34	09:36:34	09:36:34	09:36:34	09:36:34	09:36:34			09:36:34	09:36:34	09:36:37	09:36:37	09:36:37	09:36:37	09:36:37	09:36:37			09:36:38	09:36:38		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
9	09:36:38	09:36:38	09:36:38	09:36:38	09:36:38	09:36:38			09:36:38	09:36:38	09:36:41	09:36:41	09:36:41	09:36:41	09:36:41	09:36:41			09:36:42	09:36:42		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
10	09:36:42	09:36:42	09:36:42	09:36:42	09:36:42	09:36:42	09:36:42	09:36:42	09:36:42	09:36:42	09:36:45	09:36:45	09:36:45	09:36:45	09:36:45	09:36:45	09:36:45	09:36:45	09:36:47	09:36:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:02	00:00:05
11	09:36:47	09:36:47	09:36:48	09:36:48	09:36:48	09:36:48			09:36:48	09:36:48	09:36:50	09:36:50	09:36:50	09:36:50	09:36:50	09:36:50			09:36:51	09:36:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
12	09:36:51	09:36:51	09:36:51	09:36:51	09:36:51	09:36:51			09:36:51	09:36:51	09:36:54	09:36:54	09:36:54	09:36:54	09:36:54	09:36:54			09:36:55	09:36:55		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
13	09:36:55	09:36:55	09:36:55	09:36:55	09:36:55	09:36:55			09:36:55	09:36:55	09:36:58	09:36:58	09:36:58	09:36:58	09:36:58	09:36:58			09:36:58	09:36:58		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
