id, link, leftTime
8_0_0, -287333_0_r, 25215.0
8_0_0, -287760_0, 25224.0
8_0_0, -298885_0_r, 25230.0
8_0_0, -296222_0_r, 25236.0
8_0_0, -303134_0_r, 68415.0
8_0_0, -303134_0, 68421.0
8_0_0, -296222_0, 68427.0
8_0_0, -298885_0, 68433.0
8_0_0, -287760_0_r, 68442.0
8_0_0, -287333_0, 68453.0
8_0_1, -281922_0_r, 25315.0
8_0_1, -304819_3_r, 25316.0
8_0_1, -304819_2_r, 25317.0
8_0_1, -304819_1_r, 25318.0
8_0_1, -304819_0_r, 25322.0
8_0_1, -287543_0_r, 25328.0
8_0_1, -302101_0_r, 25334.0
8_0_1, -284711_0_r, 25339.0
8_0_1, -296228_0_r, 25344.0
8_0_1, -297045_0_r, 25349.0
8_0_1, -292548_0, 25354.0
8_0_1, -284968_0, 25359.0
8_0_1, -287861_0, 25364.0
8_0_1, -303549_0, 25369.0
8_0_1, -292650_0, 25373.0
8_0_1, -291848_0, 25376.0
8_0_1, -285228_0, 25381.0
8_0_1, -299608_0, 25382.0
8_0_1, -282400_0, 25388.0
8_0_1, -301520_0, 25393.0
8_0_1, -300600_0, 25399.0
8_0_1, -302188_0, 25402.0
8_0_1, -303403_0, 25406.0
8_0_1, -298177_0, 25412.0
8_0_1, -302467_0, 25414.0
8_0_1, -288230_0, 25419.0
8_0_1, -292651_0, 25425.0
8_0_1, -304146_0, 25431.0
8_0_1, -285229_0, 25437.0
8_0_1, -303791_0, 25445.0
8_0_1, -302659_0, 25448.0
8_0_1, -294610_0, 25454.0
8_0_1, -303180_0, 25467.0
8_0_1, -298549_0, 25478.0
8_0_1, -282401_0, 25491.0
8_0_1, -288231_0, 25499.0
8_0_1, -295842_0, 25501.0
8_0_1, -299609_0, 25509.0
8_0_1, -294135_0, 25511.0
8_0_1, -290379_0, 25518.0
8_0_1, -285230_0, 25522.0
8_0_1, -296344_0, 25545.0
8_0_1, -304392_0, 25558.0
8_0_1, -288232_0, 25571.0
8_0_1, -304513_0, 25583.0
8_0_1, -295103_0_r, 25597.0
8_0_1, -292674_0, 25606.0
8_0_1, -304477_0, 25615.0
8_0_1, -289981_0_r, 25616.0
8_0_1, -289981_0, 68515.0
8_0_1, -304477_0_r, 68524.0
8_0_1, -292674_0_r, 68533.0
8_0_1, -295103_0, 68547.0
8_0_1, -304513_0_r, 68559.0
8_0_1, -288232_0_r, 68572.0
8_0_1, -304392_0_r, 68585.0
8_0_1, -296344_0_r, 68608.0
8_0_1, -285230_0_r, 68612.0
8_0_1, -290379_0_r, 68619.0
8_0_1, -294135_0_r, 68621.0
8_0_1, -299609_0_r, 68629.0
8_0_1, -295842_0_r, 68631.0
8_0_1, -288231_0_r, 68639.0
8_0_1, -282401_0_r, 68652.0
8_0_1, -298549_0_r, 68663.0
8_0_1, -303180_0_r, 68676.0
8_0_1, -294610_0_r, 68682.0
8_0_1, -302659_0_r, 68685.0
8_0_1, -303791_0_r, 68693.0
8_0_1, -285229_0_r, 68699.0
8_0_1, -304146_0_r, 68705.0
8_0_1, -292651_0_r, 68711.0
8_0_1, -288230_0_r, 68716.0
8_0_1, -302467_0_r, 68718.0
8_0_1, -298177_0_r, 68724.0
8_0_1, -303403_0_r, 68728.0
8_0_1, -302188_0_r, 68731.0
8_0_1, -300600_0_r, 68737.0
8_0_1, -301520_0_r, 68742.0
8_0_1, -282400_0_r, 68748.0
8_0_1, -299608_0_r, 68749.0
8_0_1, -285228_0_r, 68754.0
8_0_1, -291848_0_r, 68757.0
8_0_1, -292650_0_r, 68761.0
8_0_1, -303549_0_r, 68766.0
8_0_1, -287861_0_r, 68771.0
8_0_1, -284968_0_r, 68776.0
8_0_1, -292548_0_r, 68781.0
8_0_1, -297045_0, 68786.0
8_0_1, -296228_0, 68791.0
8_0_1, -284711_0, 68796.0
8_0_1, -302101_0, 68802.0
8_0_1, -287543_0, 68808.0
8_0_1, -304819_0, 68812.0
8_0_1, -304819_1, 68813.0
8_0_1, -304819_2, 68814.0
