id, link, leftTime
8, -287333_0_r, 25215.0
8, -287760_0, 25224.0
8, -298885_0_r, 25230.0
8, -296222_0_r, 25236.0
8, -303134_0_r, 25242.0
8, -281972_0, 25243.0
8, -287642_0, 25247.0
8, -284798_0, 25251.0
8, -290166_0, 25257.0
8, -294910_0, 25259.0
8, -297510_0, 25263.0
8, -284799_0, 25268.0
8, -294003_0, 25273.0
8, -281973_0, 25275.0
8, -284712_0_r, 25280.0
8, -287544_0_r, 25282.0
8, -281923_0_r, 25288.0
8, -300423_0_r, 25294.0
8, -301281_0_r, 25299.0
8, -281922_0_r, 25305.0
8, -304819_3_r, 25306.0
8, -304819_2_r, 25307.0
8, -304819_1_r, 25308.0
8, -304819_0_r, 25312.0
8, -287543_0_r, 25318.0
8, -302101_0_r, 25324.0
8, -284711_0_r, 25329.0
8, -296228_0_r, 25334.0
8, -297045_0_r, 25339.0
8, -292548_0, 25344.0
8, -284968_0, 25349.0
8, -287861_0, 25354.0
8, -303549_0, 25359.0
8, -292650_0, 25363.0
8, -291848_0, 25366.0
8, -285228_0, 25371.0
8, -299608_0, 25372.0
8, -282400_0, 25378.0
8, -301520_0, 25383.0
8, -300600_0, 25389.0
8, -302188_0, 25392.0
8, -303403_0, 25396.0
8, -298177_0, 25402.0
8, -302467_0, 25404.0
8, -288230_0, 25409.0
8, -292651_0, 25415.0
8, -304146_0, 25421.0
8, -285229_0, 25427.0
8, -303791_0, 25435.0
8, -302659_0, 25438.0
8, -294610_0, 25444.0
8, -303180_0, 25457.0
8, -298549_0, 25468.0
8, -282401_0, 25481.0
8, -288231_0, 25489.0
8, -295842_0, 25491.0
8, -299609_0, 25499.0
8, -294135_0, 25501.0
8, -290379_0, 25508.0
8, -285230_0, 25512.0
8, -296344_0, 25535.0
8, -304392_0, 25548.0
8, -288232_0, 25561.0
8, -304513_0, 25573.0
8, -295103_0_r, 25587.0
8, -292674_0, 25596.0
8, -304477_0, 25605.0
8, -289981_0_r, 25606.0
8, -289981_0, 39615.0
8, -304477_0_r, 39624.0
8, -292674_0_r, 39633.0
8, -295103_0, 39647.0
8, -304513_0_r, 39659.0
8, -288232_0_r, 39672.0
8, -304392_0_r, 39685.0
8, -299458_0, 39702.0
8, -302623_0, 39726.0
8, -298799_0, 39748.0
8, -293980_0, 39756.0
8, -284716_0, 39765.0
8, -294555_0, 39770.0
8, -292298_0, 39780.0
8, -291009_0, 39785.0
8, -286679_0, 39790.0
8, -301030_0, 39795.0
8, -283921_0, 39799.0
8, -289886_0, 39803.0
8, -293778_0, 39807.0
8, -283922_0, 39811.0
8, -304265_0, 39816.0
8, -301526_0, 39820.0
8, -282418_0, 39822.0
8, -294062_0, 39826.0
8, -298667_0, 39829.0
8, -304732_0, 39837.0
8, -283551_0, 39859.0
8, -304564_0, 39864.0
8, -304564_1, 39869.0
8, -304564_2, 39874.0
8, -304564_3, 39876.0
8, -304564_4, 39878.0
8, -294452_1_r, 39897.0
8, -294452_0_r, 39920.0
8, -292209_0, 39936.0
8, -300077_2, 39943.0
8, -300493_0, 39949.0
8, -300089_0, 39955.0
8, -301978_0, 39960.0
8, -295562_0, 39965.0
8, -286268_0, 39970.0
8, -289727_0, 39976.0
8, -297888_0_r, 39980.0
8, -296593_0_r, 39987.0
8, -289745_0_r, 39999.0
24, -304825_0, 25247.0
24, -283590_0_r, 25258.0
24, -297648_0, 25266.0
24, -299012_0, 25272.0
24, -293749_0, 25277.0
24, -304418_0, 25283.0
24, -281417_0, 25289.0
24, -286559_0, 25295.0
24, -290991_0, 25300.0
24, -292273_0, 25305.0
24, -285088_0, 25310.0
24, -288027_0, 25315.0
24, -282243_0, 25320.0
24, -303388_0, 25325.0
24, -297687_0, 25329.0
24, -286238_0, 25332.0
24, -296007_0, 25335.0
24, -296007_1, 25339.0
24, -296665_1, 25340.0
24, -304225_3, 25343.0
24, -304225_4, 25354.0
24, -283531_0, 25377.0
24, -283531_1, 25383.0
24, -283531_2, 25385.0
24, -283531_3, 25386.0
24, -283531_4, 25391.0
24, -283531_5, 25407.0
24, -283528_0, 25436.0
24, -293053_0, 25444.0
24, -296997_0, 25458.0
24, -296997_1, 25461.0
24, -296997_2, 25463.0
24, -296997_3, 25467.0
24, -296997_4, 25471.0
24, -292193_0, 25482.0
24, -290925_0, 25508.0
24, -286232_0, 25529.0
24, -286232_1, 25533.0
24, -286232_2, 25537.0
24, -299103_0, 25553.0
24, -299823_2, 25555.0
24, -299823_3, 25556.0
24, -299823_4, 25558.0
24, -296935_0, 25564.0
24, -293426_0, 25569.0
24, -286162_0, 25571.0
24, -298012_0, 25575.0
24, -294095_0, 25584.0
24, -290312_0, 25586.0
24, -300560_0, 25596.0
24, -288055_0, 25603.0
24, -299547_0, 25615.0
24, -301460_0, 25623.0
24, -285105_0, 25627.0
24, -282262_0, 25631.0
24, -292912_0, 25639.0
24, -299042_0, 25641.0
24, -295949_0, 25657.0
24, -285878_0, 25663.0
24, -295462_0, 25669.0
24, -296499_0, 25676.0
24, -297570_0, 25679.0
24, -297120_0, 25684.0
24, -291407_0, 25689.0
24, -297980_0, 25697.0
24, -286225_0, 25698.0
24, -282108_0_r, 25707.0
24, -302361_0_r, 25718.0
24, -299037_0, 25729.0
24, -291390_0, 25744.0
24, -299868_0, 25752.0
24, -287191_0_r, 25755.0
24, -287191_0, 39647.0
24, -299868_0_r, 39655.0
24, -291390_0_r, 39670.0
24, -299037_0_r, 39681.0
24, -302361_0, 39692.0
24, -282108_0, 39701.0
24, -286225_0_r, 39702.0
24, -297980_0_r, 39710.0
24, -291407_0_r, 39715.0
24, -297120_0_r, 39720.0
24, -297570_0_r, 39723.0
24, -296499_0_r, 39730.0
24, -295462_0_r, 39736.0
24, -285878_0_r, 39742.0
24, -295949_0_r, 39758.0
24, -299042_0_r, 39760.0
24, -292912_0_r, 39768.0
24, -282262_0_r, 39772.0
24, -285105_0_r, 39776.0
24, -301460_0_r, 39784.0
24, -299547_0_r, 39796.0
24, -288055_0_r, 39803.0
24, -300560_0_r, 39813.0
24, -290312_0_r, 39815.0
24, -294095_0_r, 39824.0
24, -301957_0, 39835.0
24, -301957_1, 39840.0
24, -283523_0, 39853.0
24, -296582_0, 39858.0
24, -296582_1, 39905.0
24, -296882_0, 39917.0
24, -296882_1, 39923.0
24, -293674_2, 39926.0
24, -293674_3, 39936.0
24, -290927_0, 39941.0
24, -286234_0, 39976.0
24, -303505_0, 39986.0
24, -302363_0, 39999.0
24, -302363_1, 40000.0
24, -302363_2, 40001.0
24, -302363_3, 40003.0
24, -302363_4, 40004.0
24, -302363_5, 40005.0
24, -303695_0, 40008.0
24, -286236_0, 40010.0
24, -286236_1, 40017.0
24, -298267_0, 40034.0
24, -298267_1, 40042.0
24, -294858_0, 40044.0
24, -300076_0, 40047.0
24, -300076_1, 40050.0
24, -296665_4_r, 40051.0
24, -286239_2, 40053.0
24, -283520_0, 40057.0
24, -283520_1, 40060.0
24, -283520_2, 40063.0
24, -283520_3, 40065.0
24, -283520_4, 40068.0
24, -295816_0, 40073.0
24, -288016_0, 40078.0
24, -287073_0, 40083.0
24, -296148_0, 40089.0
24, -295683_0, 40095.0
24, -285026_0_r, 40100.0
24, -302889_0_r, 40105.0
24, -304418_0_r, 40111.0
24, -293749_0_r, 40116.0
24, -299012_0_r, 40122.0
24, -300165_0_r, 40128.0
