Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:29:23	14:29:23	14:29:23			14:29:23	14:29:23	14:29:23	14:29:23	14:29:23	14:29:25	14:29:25	14:29:25	14:29:25	14:29:25	14:29:25			14:29:26	14:29:26		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
1	14:29:26	14:29:26	14:29:26	14:29:26	14:29:26	14:29:26	14:29:26	14:29:26	14:29:26	14:29:26	14:29:28	14:29:28	14:29:28	14:29:28	14:29:28	14:29:28			14:29:28	14:29:28		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
2	14:29:28	14:29:28	14:29:28	14:29:28	14:29:28	14:29:28			14:29:28	14:29:28	14:29:29	14:29:29	14:29:29	14:29:29	14:29:29	14:29:29			14:29:30	14:29:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
3	14:29:30	14:29:30	14:29:30	14:29:30	14:29:30	14:29:30			14:29:30	14:29:30	14:29:31	14:29:31	14:29:31	14:29:31	14:29:31	14:29:31			14:29:31	14:29:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	14:29:31	14:29:31	14:29:31	14:29:31	14:29:31	14:29:31			14:29:31	14:29:31	14:29:33	14:29:33	14:29:33	14:29:33	14:29:33	14:29:33			14:29:33	14:29:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
5	14:29:33	14:29:33	14:29:33	14:29:33	14:29:33	14:29:33			14:29:33	14:29:33	14:29:34	14:29:34	14:29:34	14:29:34	14:29:34	14:29:34			14:29:34	14:29:34		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
6	14:29:35	14:29:35	14:29:35	14:29:35	14:29:35	14:29:35			14:29:35	14:29:35	14:29:36	14:29:36	14:29:36	14:29:36	14:29:36	14:29:36			14:29:36	14:29:36		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	14:29:36	14:29:36	14:29:36	14:29:36	14:29:36	14:29:36			14:29:36	14:29:36	14:29:37	14:29:37	14:29:37	14:29:37	14:29:37	14:29:37			14:29:37	14:29:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	14:29:38	14:29:38	14:29:38	14:29:38	14:29:38	14:29:38			14:29:38	14:29:38	14:29:39	14:29:39	14:29:39	14:29:39	14:29:39	14:29:39			14:29:39	14:29:39		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
9	14:29:39	14:29:39	14:29:39	14:29:39	14:29:39	14:29:39			14:29:39	14:29:39	14:29:40	14:29:40	14:29:40	14:29:40	14:29:40	14:29:40			14:29:41	14:29:41		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	14:29:41	14:29:41	14:29:41	14:29:41	14:29:41	14:29:41	14:29:41	14:29:41	14:29:41	14:29:41	14:29:43	14:29:43	14:29:43	14:29:43	14:29:43	14:29:43	14:29:43	14:29:43	14:29:43	14:29:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
