ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	64.75688384156044	64.75688384156044	64.75688384156044	64.75688384156044
1	64.84181874405796	64.78368121099818	64.81274997752806	64.84181874405796
2	64.8914527246535	64.8116684973081	64.853828421841	64.89201412097003
3	64.94637075825683	64.83661826965634	64.89534111425066	64.94693218221579
4	64.98360471003804	64.8566795556327	64.92566968399856	64.98378334531469
5	65.00595732197608	64.869863154379	64.94612588426283	65.01008280582477
6	65.03315514006273	64.8831639854193	64.96467412511183	65.03315514006273
7	65.04345978727048	64.89179234858081	64.97563654268616	65.04426648746846
8	65.05964171781142	64.89352944343538	64.98596454245003	65.06091765861412
9	65.08336532877533	64.91172940543234	65.00923269992418	65.0849986043482
10	65.0866580987859	64.9159409810646	65.01556320326581	65.09047070684984
