Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	06:24:34	06:24:34	06:24:34			06:24:34	06:24:34	06:24:34	06:24:34	06:24:34	06:24:37	06:24:37	06:24:37	06:24:37	06:24:37	06:24:37			06:24:38	06:24:38		00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	06:24:38	06:24:38	06:24:38	06:24:38	06:24:38	06:24:38	06:24:38	06:24:38	06:24:38	06:24:38	06:24:41	06:24:41	06:24:41	06:24:41	06:24:41	06:24:41			06:24:41	06:24:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
2	06:24:42	06:24:42	06:24:42	06:24:42	06:24:42	06:24:42			06:24:42	06:24:42	06:24:44	06:24:44	06:24:44	06:24:44	06:24:44	06:24:44			06:24:44	06:24:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	06:24:44	06:24:44	06:24:44	06:24:44	06:24:44	06:24:44			06:24:44	06:24:44	06:24:46	06:24:46	06:24:46	06:24:46	06:24:46	06:24:46			06:24:46	06:24:46		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	06:24:47	06:24:47	06:24:47	06:24:47	06:24:47	06:24:47			06:24:47	06:24:47	06:24:48	06:24:48	06:24:48	06:24:48	06:24:48	06:24:48			06:24:49	06:24:49		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	06:24:49	06:24:49	06:24:49	06:24:49	06:24:49	06:24:49			06:24:49	06:24:49	06:24:51	06:24:51	06:24:51	06:24:51	06:24:51	06:24:51			06:24:51	06:24:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	06:24:51	06:24:51	06:24:51	06:24:51	06:24:51	06:24:51			06:24:51	06:24:51	06:24:53	06:24:53	06:24:53	06:24:53	06:24:53	06:24:53			06:24:54	06:24:54		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	06:24:54	06:24:54	06:24:54	06:24:54	06:24:54	06:24:54			06:24:54	06:24:54	06:24:56	06:24:56	06:24:56	06:24:56	06:24:56	06:24:56			06:24:56	06:24:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	06:24:56	06:24:56	06:24:56	06:24:56	06:24:56	06:24:56			06:24:56	06:24:56	06:24:58	06:24:58	06:24:58	06:24:58	06:24:58	06:24:58			06:24:58	06:24:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	06:24:58	06:24:58	06:24:58	06:24:58	06:24:58	06:24:58			06:24:58	06:24:58	06:24:59	06:24:59	06:24:59	06:24:59	06:24:59	06:24:59			06:24:59	06:24:59		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
10	06:25:00	06:25:00	06:25:00	06:25:00	06:25:00	06:25:00	06:25:00	06:25:00	06:25:00	06:25:00	06:25:01	06:25:01	06:25:01	06:25:01	06:25:01	06:25:01	06:25:01	06:25:01	06:25:01	06:25:01		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
